reviewer,article,content,sugestion,decision
Heike Siebert,An Energy-Efficient Train Control Framework for Smart Railway Transportation.,content review,some sugestion,accepted
Theodore Hailperin,An Energy-Efficient Train Control Framework for Smart Railway Transportation.,content review,some sugestion,not accepted
Hady Pranoto,eHR Cloud Transformation: Implementation Approach and Success Factors.,content review,some sugestion,accepted
Akira Suzuki,eHR Cloud Transformation: Implementation Approach and Success Factors.,content review,some sugestion,accepted
Anita Schöbel,eHR Cloud Transformation: Implementation Approach and Success Factors.,content review,some sugestion,not accepted
Bita Alipasandi,FCC's Broadband Quartet: A State-Federal Fugue or Feud?,content review,some sugestion,accepted
Diogo Poças,FCC's Broadband Quartet: A State-Federal Fugue or Feud?,content review,some sugestion,accepted
Erik Meineche Schmidt,FCC's Broadband Quartet: A State-Federal Fugue or Feud?,content review,some sugestion,not accepted
Anton Schiela,Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,content review,some sugestion,accepted
Anita Schöbel,Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,content review,some sugestion,accepted
Mazen O. Hasna,Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,content review,some sugestion,not accepted
Hermano Frid,The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.,content review,some sugestion,accepted
Mazen O. Hasna,The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.,content review,some sugestion,accepted
Kanad Chakraborty,The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.,content review,some sugestion,not accepted
Anna Maria Paganoni,Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,content review,some sugestion,accepted
Babak Farzad,Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,content review,some sugestion,accepted
Andrew J. Hinchley,Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,content review,some sugestion,not accepted
Daniel Troy,PRALINE,content review,some sugestion,accepted
Aku Riihelä,PRALINE,content review,some sugestion,accepted
Alper Korkmaz,PRALINE,content review,some sugestion,not accepted
Wirt Atmar,Editorial.,content review,some sugestion,accepted
Amir Shmuel,Editorial.,content review,some sugestion,accepted
Jan Camenisch,Editorial.,content review,some sugestion,not accepted
David Alan Grier,Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.,content review,some sugestion,accepted
Hady Pranoto,Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.,content review,some sugestion,accepted
Louise A. Mawn,Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.,content review,some sugestion,not accepted
Le Deng,A knowledge based decision support system for computer performance management.,content review,some sugestion,accepted
Fabian Rothmaier,A knowledge based decision support system for computer performance management.,content review,some sugestion,accepted
Lianjun Xiao,A knowledge based decision support system for computer performance management.,content review,some sugestion,not accepted
Hermano Frid,Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,content review,some sugestion,accepted
Lianjun Xiao,Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,content review,some sugestion,accepted
Aku Riihelä,Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,content review,some sugestion,not accepted
Fabian Rothmaier,An interval statistical procedure for use in validation of simulation models.,content review,some sugestion,accepted
Arvind Ramanathan,An interval statistical procedure for use in validation of simulation models.,content review,some sugestion,accepted
Amaro de Sousa,An interval statistical procedure for use in validation of simulation models.,content review,some sugestion,not accepted
N. C. Simpson,Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,content review,some sugestion,accepted
Osama Rashed Sayed,Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,content review,some sugestion,accepted
David Perry,Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,content review,some sugestion,not accepted
Hermano Frid,On Row-Cyclic Codes with Algebraic Structure.,content review,some sugestion,accepted
Chia-Lung Yeh,On Row-Cyclic Codes with Algebraic Structure.,content review,some sugestion,accepted
Alper Korkmaz,On Row-Cyclic Codes with Algebraic Structure.,content review,some sugestion,not accepted
Andrew J. Hinchley,INDIGO: Better Geomagnetic Observatories Where We Need Them.,content review,some sugestion,accepted
Dok Nam Lee,INDIGO: Better Geomagnetic Observatories Where We Need Them.,content review,some sugestion,accepted
Moulay A. Barkatou,INDIGO: Better Geomagnetic Observatories Where We Need Them.,content review,some sugestion,not accepted
Laurent Chupin,Two-dimensional dot codes for product identification.,content review,some sugestion,accepted
Roy Edgar Hansen,Two-dimensional dot codes for product identification.,content review,some sugestion,accepted
Robert Finger,Two-dimensional dot codes for product identification.,content review,some sugestion,not accepted
Dok Nam Lee,Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,content review,some sugestion,accepted
Adel El-Faraskoury,Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,content review,some sugestion,accepted
Guangyuan Pan,Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,content review,some sugestion,not accepted
Gabriel M. Silberman,Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.,content review,some sugestion,accepted
Hidehisa Yoshida,Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.,content review,some sugestion,accepted
Arvind Ramanathan,Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.,content review,some sugestion,not accepted
Theodosios Pavlidis,The role and problems of legal culture in the social security of the population of the Republic of Kazakhstan.,content review,some sugestion,accepted
Duyan Bi,The role and problems of legal culture in the social security of the population of the Republic of Kazakhstan.,content review,some sugestion,accepted
Heike Siebert,The role and problems of legal culture in the social security of the population of the Republic of Kazakhstan.,content review,some sugestion,not accepted
Keecheon Kim,Consistency degrees of theories in some systems of propositional fuzzy logic.,content review,some sugestion,accepted
Le Deng,Consistency degrees of theories in some systems of propositional fuzzy logic.,content review,some sugestion,accepted
Ilan Abramovici,Consistency degrees of theories in some systems of propositional fuzzy logic.,content review,some sugestion,not accepted
Cynthia Jane Solomon,Explorations into Virtual Architecture: A HIT Lab Gallery.,content review,some sugestion,accepted
Haowei Xu,Explorations into Virtual Architecture: A HIT Lab Gallery.,content review,some sugestion,accepted
Diogo Poças,Explorations into Virtual Architecture: A HIT Lab Gallery.,content review,some sugestion,not accepted
Anna Maria Paganoni,Investigating voice in action teams: a critical review.,content review,some sugestion,accepted
Huiqin Xie,Investigating voice in action teams: a critical review.,content review,some sugestion,accepted
Anita Schöbel,Investigating voice in action teams: a critical review.,content review,some sugestion,not accepted
Christopher I. Amos,Higher-order correlations in non-stationary parallel spike trains: statistical modeling and inference.,content review,some sugestion,accepted
Jiaqi Zhang 0001,Higher-order correlations in non-stationary parallel spike trains: statistical modeling and inference.,content review,some sugestion,accepted
Daniel Cullina,Higher-order correlations in non-stationary parallel spike trains: statistical modeling and inference.,content review,some sugestion,not accepted
Hen-Wai Tsao,Survey of security services on group communications.,content review,some sugestion,accepted
Karl-Heinz Best,Survey of security services on group communications.,content review,some sugestion,accepted
Keecheon Kim,Survey of security services on group communications.,content review,some sugestion,not accepted
Cynthia Jane Solomon,Deterministic Extractors for Bit-Fixing Sources and Exposure-Resilient Cryptography.,content review,some sugestion,accepted
Guangyuan Pan,Deterministic Extractors for Bit-Fixing Sources and Exposure-Resilient Cryptography.,content review,some sugestion,accepted
Kanad Chakraborty,Deterministic Extractors for Bit-Fixing Sources and Exposure-Resilient Cryptography.,content review,some sugestion,not accepted
Mazen O. Hasna,Cognitive strategies observed during problem solving with LOGO.,content review,some sugestion,accepted
Keecheon Kim,Cognitive strategies observed during problem solving with LOGO.,content review,some sugestion,accepted
Hen-Wai Tsao,Cognitive strategies observed during problem solving with LOGO.,content review,some sugestion,not accepted
Ming Zhang,Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.,content review,some sugestion,accepted
K. R. Ramakrishnan,Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.,content review,some sugestion,accepted
Mazen O. Hasna,Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.,content review,some sugestion,not accepted
Babak Farzad,Detection of Structural Changes in Tachogram Series for the Diagnosis of Atrial Fibrillation Events.,content review,some sugestion,accepted
Amir Shmuel,Detection of Structural Changes in Tachogram Series for the Diagnosis of Atrial Fibrillation Events.,content review,some sugestion,accepted
Kanad Chakraborty,Detection of Structural Changes in Tachogram Series for the Diagnosis of Atrial Fibrillation Events.,content review,some sugestion,not accepted
Kanad Chakraborty,H,content review,some sugestion,accepted
Babak Farzad,H,content review,some sugestion,accepted
Vera Tilson,H,content review,some sugestion,not accepted
Danni Zhu,SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).,content review,some sugestion,accepted
Erik Meineche Schmidt,SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).,content review,some sugestion,accepted
Lianjun Xiao,SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).,content review,some sugestion,not accepted
Vera Tilson,Spectral Embedded Deep Clustering.,content review,some sugestion,accepted
N. C. Simpson,Spectral Embedded Deep Clustering.,content review,some sugestion,accepted
Dariusz Fabianowski,Spectral Embedded Deep Clustering.,content review,some sugestion,not accepted
Arthur J. Davidson,Faster Similarity Search for Multimedia Data Via Query Transformations.,content review,some sugestion,accepted
Daniel Cullina,Faster Similarity Search for Multimedia Data Via Query Transformations.,content review,some sugestion,accepted
Hen-Wai Tsao,Faster Similarity Search for Multimedia Data Via Query Transformations.,content review,some sugestion,not accepted
Qiqi Wang,INTRODUCTION. Systèmes d'organisation des connaissances hétérogènes pour les applications documentaires.,content review,some sugestion,accepted
Fabian Rothmaier,INTRODUCTION. Systèmes d'organisation des connaissances hétérogènes pour les applications documentaires.,content review,some sugestion,accepted
Amir Shmuel,INTRODUCTION. Systèmes d'organisation des connaissances hétérogènes pour les applications documentaires.,content review,some sugestion,not accepted
Huijun Wu,Extending and interpreting Post's programme.,content review,some sugestion,accepted
David Perry,Extending and interpreting Post's programme.,content review,some sugestion,accepted
David Dagan Feng,Extending and interpreting Post's programme.,content review,some sugestion,not accepted
Danni Zhu,Architectures reconfigurable et faible consommation. Réalité ou prospective ?,content review,some sugestion,accepted
Hen-Wai Tsao,Architectures reconfigurable et faible consommation. Réalité ou prospective ?,content review,some sugestion,accepted
Adriano Meta,Architectures reconfigurable et faible consommation. Réalité ou prospective ?,content review,some sugestion,not accepted
N. C. Simpson,Engagement in the course of programming in higher education through the use of gamification.,content review,some sugestion,accepted
David Dagan Feng,Engagement in the course of programming in higher education through the use of gamification.,content review,some sugestion,accepted
Björn Berghausen,Engagement in the course of programming in higher education through the use of gamification.,content review,some sugestion,not accepted
Karl-Heinz Best,Improving the prediction performance of customer behavior through multiple imputation.,content review,some sugestion,accepted
Robert Finger,Improving the prediction performance of customer behavior through multiple imputation.,content review,some sugestion,accepted
Akira Suzuki,Improving the prediction performance of customer behavior through multiple imputation.,content review,some sugestion,not accepted
Björn Berghausen,Determinants of IS Planning Comprehensiveness.,content review,some sugestion,accepted
Chih-Yuan Yao,Determinants of IS Planning Comprehensiveness.,content review,some sugestion,accepted
Duyan Bi,Determinants of IS Planning Comprehensiveness.,content review,some sugestion,not accepted
Dan Suciu,Robust and Unobtrusive Display-to-Camera Communications via Blue Channel Embedding.,content review,some sugestion,accepted
Laurent Chupin,Robust and Unobtrusive Display-to-Camera Communications via Blue Channel Embedding.,content review,some sugestion,accepted
Fabio Nobile,Robust and Unobtrusive Display-to-Camera Communications via Blue Channel Embedding.,content review,some sugestion,not accepted
Ilan Abramovici,A Bidirectional Differential Cascode Voltage Switch DC-DC Buck-Boost Converter for Low Voltage Application.,content review,some sugestion,accepted
Laurent Chupin,A Bidirectional Differential Cascode Voltage Switch DC-DC Buck-Boost Converter for Low Voltage Application.,content review,some sugestion,accepted
Amaro de Sousa,A Bidirectional Differential Cascode Voltage Switch DC-DC Buck-Boost Converter for Low Voltage Application.,content review,some sugestion,not accepted
Wirt Atmar,Uncertain Currency Model and Currency Option Pricing.,content review,some sugestion,accepted
Babak Farzad,Uncertain Currency Model and Currency Option Pricing.,content review,some sugestion,accepted
Chia-Lung Yeh,Uncertain Currency Model and Currency Option Pricing.,content review,some sugestion,not accepted
Ilan Abramovici,Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.,content review,some sugestion,accepted
Christopher I. Amos,Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.,content review,some sugestion,accepted
Andrzej Omieljanowicz,Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.,content review,some sugestion,not accepted
Abbas Heydari,Optimal power allocation for relayed transmissions over Rayleigh-fading channels.,content review,some sugestion,accepted
Björn Berghausen,Optimal power allocation for relayed transmissions over Rayleigh-fading channels.,content review,some sugestion,accepted
Keecheon Kim,Optimal power allocation for relayed transmissions over Rayleigh-fading channels.,content review,some sugestion,not accepted
David Perry,Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.,content review,some sugestion,accepted
Di Li 0003,Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.,content review,some sugestion,accepted
Renbiao Wu,Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.,content review,some sugestion,not accepted
Diogo Poças,Correlation Coefficients for a Study with Repeated Measures.,content review,some sugestion,accepted
Amir Shmuel,Correlation Coefficients for a Study with Repeated Measures.,content review,some sugestion,accepted
Luca Schenato 0001,Correlation Coefficients for a Study with Repeated Measures.,content review,some sugestion,not accepted
Amir Shmuel,R & D indicators and socio-economic cohesion.,content review,some sugestion,accepted
Norman F. Schneidewind,R & D indicators and socio-economic cohesion.,content review,some sugestion,accepted
Cynthia Jane Solomon,R & D indicators and socio-economic cohesion.,content review,some sugestion,not accepted
Laurent Chupin,Mechanisms of ventricular arrhythmias elicited by coexistence of multiple electrophysiological remodeling in ischemia: A simulation study.,content review,some sugestion,accepted
Norman F. Schneidewind,Mechanisms of ventricular arrhythmias elicited by coexistence of multiple electrophysiological remodeling in ischemia: A simulation study.,content review,some sugestion,accepted
K. R. Ramakrishnan,Mechanisms of ventricular arrhythmias elicited by coexistence of multiple electrophysiological remodeling in ischemia: A simulation study.,content review,some sugestion,not accepted
Dok Nam Lee,Bilateral vs. Paretic-Limb-Only Ankle Exoskeleton Assistance for Improving Hemiparetic Gait: A Case Series.,content review,some sugestion,accepted
Oliver Marschollek,Bilateral vs. Paretic-Limb-Only Ankle Exoskeleton Assistance for Improving Hemiparetic Gait: A Case Series.,content review,some sugestion,accepted
Haowei Xu,Bilateral vs. Paretic-Limb-Only Ankle Exoskeleton Assistance for Improving Hemiparetic Gait: A Case Series.,content review,some sugestion,not accepted
Ilan Abramovici,Lightweight Secure Message Delivery for E2E S2S Communication in the IoT-Cloud System.,content review,some sugestion,accepted
Heike Siebert,Lightweight Secure Message Delivery for E2E S2S Communication in the IoT-Cloud System.,content review,some sugestion,accepted
E. A. Mary Anita,Lightweight Secure Message Delivery for E2E S2S Communication in the IoT-Cloud System.,content review,some sugestion,not accepted
Aku Riihelä,RIO configuration optimization for assured service in diffserv networks.,content review,some sugestion,accepted
Akira Suzuki,RIO configuration optimization for assured service in diffserv networks.,content review,some sugestion,accepted
Jan Camenisch,RIO configuration optimization for assured service in diffserv networks.,content review,some sugestion,not accepted
Andrzej Omieljanowicz,Perceptual non-intrusive speech quality assessment using a self-organizing map.,content review,some sugestion,accepted
Roy Edgar Hansen,Perceptual non-intrusive speech quality assessment using a self-organizing map.,content review,some sugestion,accepted
Adriano Meta,Perceptual non-intrusive speech quality assessment using a self-organizing map.,content review,some sugestion,not accepted
Hen-Wai Tsao,Compilation des contraintes booléennes n-aires pour le traitement des CSP dynamiques.,content review,some sugestion,accepted
Huiqin Xie,Compilation des contraintes booléennes n-aires pour le traitement des CSP dynamiques.,content review,some sugestion,accepted
Jiang Ma,Compilation des contraintes booléennes n-aires pour le traitement des CSP dynamiques.,content review,some sugestion,not accepted
Adriano Meta,Knightian decision theory and econometric inferences.,content review,some sugestion,accepted
Daniela Guaiana,Knightian decision theory and econometric inferences.,content review,some sugestion,accepted
E. Lerzan Örmeci,Knightian decision theory and econometric inferences.,content review,some sugestion,not accepted
Christopher I. Amos,When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.,content review,some sugestion,accepted
Vera Tilson,When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.,content review,some sugestion,accepted
Luca Schenato 0001,When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.,content review,some sugestion,not accepted
John T. Fredricksen,Hitori Numbers.,content review,some sugestion,accepted
André Raspaud,Hitori Numbers.,content review,some sugestion,accepted
Danni Zhu,Hitori Numbers.,content review,some sugestion,not accepted
Andrew J. Hinchley,FAC: A Functional APL Language.,content review,some sugestion,accepted
Jiang Ma,FAC: A Functional APL Language.,content review,some sugestion,accepted
Aida Pliuskeviciene,FAC: A Functional APL Language.,content review,some sugestion,not accepted
Chia-Lung Yeh,Heavy-tails in Kalman filtering with packet losses.,content review,some sugestion,accepted
Guangyuan Pan,Heavy-tails in Kalman filtering with packet losses.,content review,some sugestion,accepted
David Dagan Feng,Heavy-tails in Kalman filtering with packet losses.,content review,some sugestion,not accepted
Daniela Guaiana,Model predictive sliding mode control of six-phase induction motor using nine-switch converter.,content review,some sugestion,accepted
Akira Suzuki,Model predictive sliding mode control of six-phase induction motor using nine-switch converter.,content review,some sugestion,accepted
Diogo Poças,Model predictive sliding mode control of six-phase induction motor using nine-switch converter.,content review,some sugestion,not accepted
Adel El-Faraskoury,Towards context aware tracking: a flatness based automotive oriented scheme with elastic execution time and sheaf determination.,content review,some sugestion,accepted
Fabian Rothmaier,Towards context aware tracking: a flatness based automotive oriented scheme with elastic execution time and sheaf determination.,content review,some sugestion,accepted
Moulay A. Barkatou,Towards context aware tracking: a flatness based automotive oriented scheme with elastic execution time and sheaf determination.,content review,some sugestion,not accepted
Robert Finger,Prometheus or Pandora: The Influence of Automation on Society.,content review,some sugestion,accepted
Danni Zhu,Prometheus or Pandora: The Influence of Automation on Society.,content review,some sugestion,accepted
Di Li 0003,Prometheus or Pandora: The Influence of Automation on Society.,content review,some sugestion,not accepted
Constant Solimando,GCLR: GNN-Based Cross Layer Optimization for Multipath TCP by Routing.,content review,some sugestion,accepted
Andrew J. Hinchley,GCLR: GNN-Based Cross Layer Optimization for Multipath TCP by Routing.,content review,some sugestion,accepted
C. G. Parthipan,GCLR: GNN-Based Cross Layer Optimization for Multipath TCP by Routing.,content review,some sugestion,not accepted
Osama Rashed Sayed,Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.,content review,some sugestion,accepted
Guangyuan Pan,Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.,content review,some sugestion,accepted
M. I. Cohen,Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.,content review,some sugestion,not accepted
Karl-Heinz Best,Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.,content review,some sugestion,accepted
Kanad Chakraborty,Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.,content review,some sugestion,accepted
Dariusz Fabianowski,Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.,content review,some sugestion,not accepted
Bita Alipasandi,A biochemical multi-species quality model of a drinking water distribution system for simulation and design.,content review,some sugestion,accepted
Daniela Guaiana,A biochemical multi-species quality model of a drinking water distribution system for simulation and design.,content review,some sugestion,accepted
Arun Mittal,A biochemical multi-species quality model of a drinking water distribution system for simulation and design.,content review,some sugestion,not accepted
Oliver Marschollek,Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.,content review,some sugestion,accepted
Duyan Bi,Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.,content review,some sugestion,accepted
Akira Suzuki,Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.,content review,some sugestion,not accepted
Ahmed M. Mohamed,On the Divergence and the Joshi Dependence Measure in Feature Selection.,content review,some sugestion,accepted
Arturo Molina 0001,On the Divergence and the Joshi Dependence Measure in Feature Selection.,content review,some sugestion,accepted
E. A. Mary Anita,On the Divergence and the Joshi Dependence Measure in Feature Selection.,content review,some sugestion,not accepted
Daniel Cullina,Early Flame Detection in Video Sequences based on D-S Evidence Theory.,content review,some sugestion,accepted
Adriano Meta,Early Flame Detection in Video Sequences based on D-S Evidence Theory.,content review,some sugestion,accepted
Laurent Chupin,Early Flame Detection in Video Sequences based on D-S Evidence Theory.,content review,some sugestion,not accepted
Keecheon Kim,The role of low-frequency oscillations in three-dimensional perception with depth cues in virtual reality.,content review,some sugestion,accepted
Di Li 0003,The role of low-frequency oscillations in three-dimensional perception with depth cues in virtual reality.,content review,some sugestion,accepted
Renbiao Wu,The role of low-frequency oscillations in three-dimensional perception with depth cues in virtual reality.,content review,some sugestion,not accepted
Akira Suzuki,Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.,content review,some sugestion,accepted
Hermano Frid,Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.,content review,some sugestion,accepted
Björn Berghausen,Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.,content review,some sugestion,not accepted
