title,year,pages,key_words,abstract,DOI,type
An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.,2010.0,22,Databases|Computer Networking|MLOps|Operating Systems|Big Data|Data Science,An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.,journals/jms/KavithaR10,short paper
Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,2021.0,17,Computer Architecture|MLOps|Computer Networking|Data Processing|Operating Systems|Indexing,Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,journals/air/SajidARDZ21,full paper
Topic-based label distribution learning to exploit label ambiguity for scene classification.,2021.0,13,Databases|Computer Architecture|Computer Networking|Data Processing|Indexing|Big Data|Distributed Systems|Mathematics for Computer Science|Information Systems|Hardware|Data Science,Topic-based label distribution learning to exploit label ambiguity for scene classification.,journals/nca/LuoHOLW21,full paper
"One-Tape, Off-Line Turing Machine Computations",1965.0,27,Computer Networking|MLOps|Operating Systems|Indexing|Big Data|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Science,"One-Tape, Off-Line Turing Machine Computations",journals/iandc/Hennie65,full paper
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,2012.0,14,Databases|Computer Architecture|Computer Networking|Computer Science|Mathematics for Computer Science|Data Science|Machine Learning|Data Modeling,Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,journals/cma/RongF12,demo paper
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,2021.0,12,Databases|Computer Networking|MLOps|Data Processing|Indexing|Information Systems|Data structures & Algorithms|Hardware|Data Science|Machine Learning|Data Modeling,Professional networking with emailing groups: A case of Pakistan Library Automation Group.,journals/jolis/SiddiqueSMK21,full paper
Leverage Point Identification Method for LAV-Based State Estimation.,2021.0,21,Databases|MLOps|Operating Systems|Distributed Systems|Information Systems|Data Science|Machine Learning,Leverage Point Identification Method for LAV-Based State Estimation.,journals/tim/DorierFAP21,poster
Singular value decomposition of time-varying matrices.,2003.0,11,Databases|Computer Architecture|Computer Networking|Languages & Compilers|MLOps|Indexing|Distributed Systems|Data structures & Algorithms|Hardware|Data Science|Data Modeling,Singular value decomposition of time-varying matrices.,journals/fgcs/BaumannH03,full paper
Functional proteomic pattern identification under low dose ionizing radiation.,2010.0,22,Databases|MLOps|Data Processing|Languages & Compilers|Distributed Systems|Computer Science|Mathematics for Computer Science|Information Systems|Hardware|Data Science|Databases|Data Modeling,Functional proteomic pattern identification under low dose ionizing radiation.,journals/artmed/KimYG10,full paper
Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,2019.0,24,Databases|Computer Architecture|Languages & Compilers|Operating Systems|Indexing|Computer Science|Mathematics for Computer Science|Hardware|Databases|Machine Learning,Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,journals/aci/StonbrakerHBS19,poster
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,2016.0,24,Databases|Computer Architecture|MLOps|Computer Networking|Languages & Compilers|Indexing|Big Data|Distributed Systems|Computer Science|Mathematics for Computer Science|Data structures & Algorithms|Hardware|Data Science|Databases,An Energy-Efficient Train Control Framework for Smart Railway Transportation.,journals/tc/HuangDYS16,poster
eHR Cloud Transformation: Implementation Approach and Success Factors.,2019.0,26,Computer Architecture|MLOps|Operating Systems|Computer Science|Data Science|Machine Learning,eHR Cloud Transformation: Implementation Approach and Success Factors.,journals/ijiit/ZiebellASSM19,demo paper
FCC's Broadband Quartet: A State-Federal Fugue or Feud?,2003.0,19,Databases|Data Processing|Languages & Compilers|Operating Systems|Indexing|Big Data|Computer Science|Data structures & Algorithms|Hardware|Data Science|Data Modeling,FCC's Broadband Quartet: A State-Federal Fugue or Feud?,journals/jthtl/Arbogast03,short paper
Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,2014.0,26,Computer Networking|Data Processing|Languages & Compilers|Operating Systems|Big Data|Mathematics for Computer Science|Hardware|Data Science|Databases|Machine Learning|Data Modeling,Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,journals/tpds/XieJ14,short paper
The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.,2017.0,29,Computer Architecture|Computer Science|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Data Science,The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.,journals/ijthi/Zhou17,demo paper
Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,2020.0,22,MLOps|Data Processing|Languages & Compilers|Indexing|Big Data|Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Science|Databases,Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,journals/dcg/Laczkovich20,full paper
PRALINE,2008.0,26,Computer Architecture|Data Processing|Operating Systems|Indexing|Data Science|Data Modeling,PRALINE,journals/bioinformatics/PirovanoFH08,short paper
Editorial.,2005.0,10,Computer Science|Big Data|Distributed Systems|Data structures & Algorithms,Editorial.,journals/pnc/SubramaniamC05,poster
Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.,2022.0,17,Computer Architecture|Languages & Compilers|Mathematics for Computer Science|Hardware|Data Modeling,Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.,journals/access/BadawiIMEWMLD22,demo paper
A knowledge based decision support system for computer performance management.,1992.0,14,Databases|Computer Science|Data Science|Databases|Machine Learning,A knowledge based decision support system for computer performance management.,journals/dss/ArinzeIY92,short paper
Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,2014.0,25,Computer Architecture|Data Processing|Operating Systems|Indexing|Computer Science|Information Systems|Hardware|Data Science|Machine Learning,Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,journals/siamnum/Wang14,short paper
An interval statistical procedure for use in validation of simulation models.,2015.0,13,Computer Architecture|Computer Networking|Data Processing|Indexing|Distributed Systems|Mathematics for Computer Science|Data Science|Databases|Data Modeling,An interval statistical procedure for use in validation of simulation models.,journals/jos/Sargent15,demo paper
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,2021.0,11,Computer Architecture|Data Processing|Languages & Compilers|Indexing|Big Data|Distributed Systems|Mathematics for Computer Science|Information Systems|Data Science|Databases|Machine Learning,Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,journals/cin/HanLBZ21,full paper
On Row-Cyclic Codes with Algebraic Structure.,1994.0,29,Databases|Computer Architecture|MLOps|Data Processing|Computer Networking|Operating Systems|Indexing|Big Data|Distributed Systems|Computer Science|Mathematics for Computer Science|Information Systems|Machine Learning,On Row-Cyclic Codes with Algebraic Structure.,journals/dcc/Sabin94,demo paper
INDIGO: Better Geomagnetic Observatories Where We Need Them.,2011.0,23,Computer Architecture|Computer Networking|Languages & Compilers|Data Processing|Operating Systems|Big Data|Distributed Systems|Computer Science|Mathematics for Computer Science|Information Systems|Hardware|Data Science|Databases,INDIGO: Better Geomagnetic Observatories Where We Need Them.,journals/datascience/BorodinBDEFHHKKLMMNSRRSTY11,full paper
Two-dimensional dot codes for product identification.,1987.0,21,Computer Networking|Data Processing|Operating Systems|Indexing|Distributed Systems|Computer Science|Mathematics for Computer Science|Hardware|Data Science|Databases|Machine Learning,Two-dimensional dot codes for product identification.,journals/tit/Gils87,full paper
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,2021.0,16,Databases|Computer Architecture|MLOps|Data Processing|Languages & Compilers|Computer Networking|Indexing|Big Data|Data structures & Algorithms|Hardware|Data Science|Machine Learning,Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,journals/informs/RodriguesARD21,demo paper
Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.,2006.0,17,Computer Architecture|Data Processing|Mathematics for Computer Science|Data structures & Algorithms|Data Science|Data Modeling,Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.,journals/ijcis/CookRS06,poster
The role and problems of legal culture in the social security of the population of the Republic of Kazakhstan.,2022.0,12,MLOps|Languages & Compilers|Computer Networking|Operating Systems|Big Data|Distributed Systems|Information Systems|Data structures & Algorithms|Data Science|Machine Learning|Data Modeling,The role and problems of legal culture in the social security of the population of the Republic of Kazakhstan.,journals/ijesdf/NurtazinKSIT22,short paper
Consistency degrees of theories in some systems of propositional fuzzy logic.,2005.0,16,Computer Architecture|MLOps|Languages & Compilers|Distributed Systems|Data Science,Consistency degrees of theories in some systems of propositional fuzzy logic.,journals/fss/ZhouW05,poster
Explorations into Virtual Architecture: A HIT Lab Gallery.,1997.0,17,Databases|Data Processing|Operating Systems|Indexing|Distributed Systems|Computer Science|Mathematics for Computer Science|Hardware|Data Science|Databases|Machine Learning,Explorations into Virtual Architecture: A HIT Lab Gallery.,journals/ieeemm/Campbell97,poster
Investigating voice in action teams: a critical review.,2021.0,23,MLOps|Data Processing|Computer Networking|Distributed Systems|Computer Science|Mathematics for Computer Science|Data structures & Algorithms|Databases|Data Modeling,Investigating voice in action teams: a critical review.,journals/ctw/KrenzB21,demo paper
Higher-order correlations in non-stationary parallel spike trains: statistical modeling and inference.,2010.0,16,Computer Architecture|Computer Networking|Data Processing|Languages & Compilers|MLOps|Computer Science|Information Systems|Hardware|Data Science|Databases|Machine Learning|Data Modeling,Higher-order correlations in non-stationary parallel spike trains: statistical modeling and inference.,journals/ficn/StaudeGR10,demo paper
Survey of security services on group communications.,2010.0,17,Databases|Computer Networking|Distributed Systems|Computer Science|Information Systems|Data Science|Machine Learning,Survey of security services on group communications.,journals/iet-ifs/SakarindrA10,full paper
Deterministic Extractors for Bit-Fixing Sources and Exposure-Resilient Cryptography.,2007.0,17,Databases|MLOps|Operating Systems|Indexing|Big Data|Data Science|Databases|Machine Learning|Data Modeling,Deterministic Extractors for Bit-Fixing Sources and Exposure-Resilient Cryptography.,journals/siamcomp/KampZ07,full paper
Cognitive strategies observed during problem solving with LOGO.,1998.0,22,Computer Architecture|Computer Science|Data structures & Algorithms|Hardware|Data Science,Cognitive strategies observed during problem solving with LOGO.,journals/jcal/LowenthalMS98,poster
Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.,2012.0,29,Computer Architecture|Computer Networking|Data Processing|Operating Systems|Distributed Systems|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Science|Databases|Machine Learning|Data Modeling,Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.,journals/taslp/OliveiraDGR12,short paper
Detection of Structural Changes in Tachogram Series for the Diagnosis of Atrial Fibrillation Events.,2013.0,11,Databases|Languages & Compilers|Big Data|Hardware|Data Science|Databases|Data Modeling,Detection of Structural Changes in Tachogram Series for the Diagnosis of Atrial Fibrillation Events.,journals/cmmm/IevaPZ13,short paper
H,2013.0,13,Databases|Computer Architecture|Computer Networking|Data Processing|Languages & Compilers|Indexing|Hardware|Data Science|Databases,H,journals/cssp/WangL13,demo paper
SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).,2018.0,16,MLOps|Indexing|Data structures & Algorithms|Data Science|Data Modeling,SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).,journals/csse/XuG18,demo paper
Spectral Embedded Deep Clustering.,2019.0,11,Databases|Computer Networking|MLOps|Languages & Compilers|Operating Systems|Indexing|Distributed Systems|Mathematics for Computer Science|Information Systems|Hardware|Machine Learning,Spectral Embedded Deep Clustering.,journals/entropy/WadaMNAKK19,demo paper
Faster Similarity Search for Multimedia Data Via Query Transformations.,2003.0,10,Databases|Computer Architecture|Languages & Compilers|Data Processing|Operating Systems|Big Data|Distributed Systems|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Hardware|Databases,Faster Similarity Search for Multimedia Data Via Query Transformations.,journals/ijig/LangS03,full paper
INTRODUCTION. Systèmes d'organisation des connaissances hétérogènes pour les applications documentaires.,2010.0,21,Databases|Computer Architecture|MLOps|Operating Systems|Indexing|Information Systems|Data structures & Algorithms|Hardware|Data Science|Databases|Data Modeling,INTRODUCTION. Systèmes d'organisation des connaissances hétérogènes pour les applications documentaires.,journals/dn/ZackladG10,full paper
Extending and interpreting Post's programme.,2010.0,16,Databases|Computer Architecture|Computer Networking|Big Data|Distributed Systems|Mathematics for Computer Science|Information Systems,Extending and interpreting Post's programme.,journals/apal/Cooper10,demo paper
Architectures reconfigurable et faible consommation. Réalité ou prospective ?,2007.0,21,Computer Networking|Languages & Compilers|Indexing|Mathematics for Computer Science|Information Systems|Hardware|Data Science|Machine Learning|Data Modeling,Architectures reconfigurable et faible consommation. Réalité ou prospective ?,journals/tsi/PillementD07,poster
Engagement in the course of programming in higher education through the use of gamification.,2019.0,18,Computer Architecture|Computer Networking|Data Processing|Operating Systems|Big Data|Distributed Systems|Computer Science|Information Systems|Machine Learning|Data Modeling,Engagement in the course of programming in higher education through the use of gamification.,journals/uais/LopezFMGR19,poster
Improving the prediction performance of customer behavior through multiple imputation.,2004.0,17,Computer Architecture|Computer Networking|Languages & Compilers|Big Data|Machine Learning,Improving the prediction performance of customer behavior through multiple imputation.,journals/ida/NohKH04,full paper
Determinants of IS Planning Comprehensiveness.,2014.0,13,Databases|Computer Networking|Data Processing|Big Data|Data Science,Determinants of IS Planning Comprehensiveness.,journals/cais/RahrovaniCP14,full paper
Robust and Unobtrusive Display-to-Camera Communications via Blue Channel Embedding.,2019.0,15,Computer Architecture|MLOps|Computer Networking|Distributed Systems|Hardware|Data Science,Robust and Unobtrusive Display-to-Camera Communications via Blue Channel Embedding.,journals/tip/ChenHZM19,full paper
A Bidirectional Differential Cascode Voltage Switch DC-DC Buck-Boost Converter for Low Voltage Application.,2017.0,23,Computer Architecture|MLOps|Data Processing|Indexing|Computer Science|Information Systems|Data Science,A Bidirectional Differential Cascode Voltage Switch DC-DC Buck-Boost Converter for Low Voltage Application.,journals/jolpe/ColalongoRCK17,full paper
Uncertain Currency Model and Currency Option Pricing.,2015.0,10,Databases|Computer Architecture|Languages & Compilers|Operating Systems|Indexing|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Hardware|Databases|Machine Learning|Data Modeling,Uncertain Currency Model and Currency Option Pricing.,journals/ijis/LiuCR15,demo paper
Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.,2012.0,14,Databases|Computer Architecture|MLOps|Computer Networking|Big Data|Distributed Systems|Computer Science|Mathematics for Computer Science|Hardware|Databases|Data Modeling,Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.,journals/moc/Kreuzer12,demo paper
Optimal power allocation for relayed transmissions over Rayleigh-fading channels.,2004.0,19,Computer Architecture|MLOps|Data Processing|Computer Networking|Operating Systems|Mathematics for Computer Science|Data structures & Algorithms|Data Science,Optimal power allocation for relayed transmissions over Rayleigh-fading channels.,journals/twc/HasnaA04a,full paper
Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.,2012.0,28,Databases|Computer Architecture|MLOps|Languages & Compilers|Operating Systems|Indexing|Computer Science|Mathematics for Computer Science|Data Science|Databases|Machine Learning|Data Modeling,Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.,journals/wpc/DeatonASIDM12a,short paper
Correlation Coefficients for a Study with Repeated Measures.,2020.0,29,Computer Architecture|Operating Systems|Computer Science|Information Systems|Data structures & Algorithms|Machine Learning,Correlation Coefficients for a Study with Repeated Measures.,journals/cmmm/ShanZJ20,full paper
R & D indicators and socio-economic cohesion.,1993.0,20,Computer Networking|Data Processing|Indexing|Computer Science|Hardware|Data Science,R & D indicators and socio-economic cohesion.,journals/scientometrics/CaracaSM93,full paper
Mechanisms of ventricular arrhythmias elicited by coexistence of multiple electrophysiological remodeling in ischemia: A simulation study.,2022.0,23,Databases|Computer Networking|MLOps|Operating Systems|Indexing|Big Data|Computer Science|Data structures & Algorithms|Data Science|Data Modeling,Mechanisms of ventricular arrhythmias elicited by coexistence of multiple electrophysiological remodeling in ischemia: A simulation study.,journals/ploscb/LiangLWDWZ22,short paper
Bilateral vs. Paretic-Limb-Only Ankle Exoskeleton Assistance for Improving Hemiparetic Gait: A Case Series.,2022.0,17,Databases|Computer Architecture|Distributed Systems|Hardware,Bilateral vs. Paretic-Limb-Only Ankle Exoskeleton Assistance for Improving Hemiparetic Gait: A Case Series.,journals/ral/FangL22,poster
Lightweight Secure Message Delivery for E2E S2S Communication in the IoT-Cloud System.,2020.0,20,Computer Architecture|MLOps|Computer Networking|Distributed Systems|Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Science|Databases|Machine Learning,Lightweight Secure Message Delivery for E2E S2S Communication in the IoT-Cloud System.,journals/access/SibaheeLALAHHG20,short paper
RIO configuration optimization for assured service in diffserv networks.,2009.0,16,MLOps|Languages & Compilers|Indexing|Distributed Systems|Information Systems|Data structures & Algorithms|Hardware|Data Science|Machine Learning,RIO configuration optimization for assured service in diffserv networks.,journals/tce/JooHKEL09,full paper
Perceptual non-intrusive speech quality assessment using a self-organizing map.,2006.0,19,Hardware|Computer Networking|Data structures & Algorithms|Operating Systems,Perceptual non-intrusive speech quality assessment using a self-organizing map.,journals/jeim/Mahdi06,short paper
Compilation des contraintes booléennes n-aires pour le traitement des CSP dynamiques.,2001.0,18,Databases|Computer Architecture|MLOps|Data Processing|Languages & Compilers|Operating Systems|Indexing|Distributed Systems|Computer Science|Mathematics for Computer Science|Data structures & Algorithms|Data Science|Machine Learning|Data Modeling,Compilation des contraintes booléennes n-aires pour le traitement des CSP dynamiques.,journals/ria/PiechowiakR01,full paper
Knightian decision theory and econometric inferences.,2011.0,17,Databases|Computer Networking|MLOps|Data Processing|Indexing|Big Data|Distributed Systems|Mathematics for Computer Science|Hardware|Data Science|Databases|Machine Learning|Data Modeling,Knightian decision theory and econometric inferences.,journals/jet/Bewley11,demo paper
When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.,2021.0,10,Computer Architecture|Computer Networking|Data Processing|MLOps|Operating Systems|Languages & Compilers|Indexing|Big Data|Information Systems|Hardware|Databases|Data Modeling,When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.,journals/jnca/ShenZTJ21,demo paper
Hitori Numbers.,2017.0,18,Databases|Computer Architecture|Data Processing|Operating Systems|Information Systems|Data Science|Machine Learning|Data Modeling,Hitori Numbers.,journals/jip/SuzukiKOUU17,demo paper
FAC: A Functional APL Language.,1986.0,19,Databases|Computer Architecture|MLOps|Data Processing|Computer Networking|Operating Systems|Indexing|Distributed Systems|Data structures & Algorithms|Hardware|Machine Learning|Data Modeling,FAC: A Functional APL Language.,journals/software/TuP86,poster
Heavy-tails in Kalman filtering with packet losses.,2019.0,27,Computer Architecture|MLOps|Data Processing|Computer Networking|Big Data|Distributed Systems|Computer Science|Mathematics for Computer Science|Information Systems|Data Science|Databases|Machine Learning|Data Modeling,Heavy-tails in Kalman filtering with packet losses.,journals/ejcon/PezzuttoSD19,demo paper
Model predictive sliding mode control of six-phase induction motor using nine-switch converter.,2022.0,26,Computer Architecture|MLOps|Data Processing|Operating Systems|Indexing|Distributed Systems|Computer Science|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Machine Learning,Model predictive sliding mode control of six-phase induction motor using nine-switch converter.,journals/ijcta/GulbudakGK22,poster
Towards context aware tracking: a flatness based automotive oriented scheme with elastic execution time and sheaf determination.,2008.0,17,Databases|Computer Architecture|Languages & Compilers|Data Processing|Data Science|Databases,Towards context aware tracking: a flatness based automotive oriented scheme with elastic execution time and sheaf determination.,journals/ijcon/MounierR08,short paper
Prometheus or Pandora: The Influence of Automation on Society.,1981.0,14,Databases|Computer Architecture|Computer Networking|Computer Science|Information Systems|Data structures & Algorithms|Hardware|Databases|Data Modeling,Prometheus or Pandora: The Influence of Automation on Society.,journals/computer/Simon81,demo paper
GCLR: GNN-Based Cross Layer Optimization for Multipath TCP by Routing.,2020.0,10,Computer Architecture|MLOps|Indexing|Big Data|Computer Science|Data structures & Algorithms|Machine Learning,GCLR: GNN-Based Cross Layer Optimization for Multipath TCP by Routing.,journals/access/ZhuCCWW20,demo paper
Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.,2021.0,26,Databases|Computer Architecture|MLOps|Languages & Compilers|Big Data|Computer Science|Databases|Machine Learning,Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.,journals/eswa/FabianowskiJS21,short paper
Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.,2021.0,13,Databases|Computer Architecture|Computer Networking|Languages & Compilers|Operating Systems|Big Data|Distributed Systems|Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Science|Databases|Machine Learning|Data Modeling,Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.,journals/iet-ipr/Singhal021,full paper
A biochemical multi-species quality model of a drinking water distribution system for simulation and design.,2013.0,24,Computer Networking|Languages & Compilers|Operating Systems|Big Data|Distributed Systems|Computer Science|Mathematics for Computer Science|Hardware|Data Science|Databases|Machine Learning,A biochemical multi-species quality model of a drinking water distribution system for simulation and design.,journals/amcs/ArminskiZB13,full paper
Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.,2012.0,10,Databases|Computer Architecture|MLOps|Computer Networking|Languages & Compilers|Operating Systems|Indexing|Big Data|Data structures & Algorithms,Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.,journals/ijac/HauboldLM12,poster
On the Divergence and the Joshi Dependence Measure in Feature Selection.,1975.0,14,Databases|Computer Architecture|Data Processing|Languages & Compilers|Operating Systems|Indexing|Big Data|Computer Science|Information Systems|Data structures & Algorithms|Data Science|Databases|Machine Learning,On the Divergence and the Joshi Dependence Measure in Feature Selection.,journals/ipl/Kittler75,poster
Early Flame Detection in Video Sequences based on D-S Evidence Theory.,2013.0,10,Databases|Computer Architecture|MLOps|Computer Networking|Data Processing|Languages & Compilers|Distributed Systems|Information Systems|Data structures & Algorithms|Data Science|Databases|Data Modeling,Early Flame Detection in Video Sequences based on D-S Evidence Theory.,journals/jcp/LiLWLFN13,demo paper
The role of low-frequency oscillations in three-dimensional perception with depth cues in virtual reality.,2022.0,25,Databases|Computer Architecture|MLOps|Computer Networking|Operating Systems|Indexing|Information Systems|Data structures & Algorithms|Hardware|Databases|Data Modeling,The role of low-frequency oscillations in three-dimensional perception with depth cues in virtual reality.,journals/neuroimage/TangLHTLWQCADFW22,full paper
Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.,2021.0,20,Computer Architecture|Big Data|Distributed Systems|Computer Science|Mathematics for Computer Science|Data structures & Algorithms|Hardware|Data Science|Data Modeling,Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.,journals/tsg/LiuW21,short paper
Demand-oblivious routing with planned link pruning.,2018.0,13,Computer Networking|Indexing|Distributed Systems|Computer Science|Mathematics for Computer Science|Data structures & Algorithms|Data Science|Databases|Machine Learning,Demand-oblivious routing with planned link pruning.,journals/cn/YangX18,short paper
Environmental social governance management: a theoretical perspective for the role of disclosure in the supply chain.,2015.0,19,Computer Architecture|MLOps|Languages & Compilers|Operating Systems|Distributed Systems|Computer Science|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Science|Databases|Data Modeling,Environmental social governance management: a theoretical perspective for the role of disclosure in the supply chain.,journals/ijbis/Whitelock15,poster
Robotic sound-source localisation architecture using cross-correlation and recurrent neural networks.,2009.0,14,Data Processing|Big Data|Distributed Systems|Information Systems|Data structures & Algorithms,Robotic sound-source localisation architecture using cross-correlation and recurrent neural networks.,journals/nn/MurrayEW09,full paper
"MOLAR: A Cost-Efficient, High-Performance SSD-Based Hybrid Storage Cache.",2015.0,26,Mathematics for Computer Science|Data Processing|Computer Science|Hardware,"MOLAR: A Cost-Efficient, High-Performance SSD-Based Hybrid Storage Cache.",journals/cj/LiuGHD15,short paper
A nonlinear state estimation framework for humanoid robots.,2022.0,15,Computer Architecture|Mathematics for Computer Science|Databases|Hardware,A nonlinear state estimation framework for humanoid robots.,journals/ras/LiYDZZ22,poster
Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.,2012.0,18,Databases|Computer Architecture|MLOps|Languages & Compilers|Computer Networking|Operating Systems|Indexing|Big Data|Information Systems|Hardware|Data Science|Databases|Machine Learning|Data Modeling,Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.,journals/bmcsb/WoodC12,full paper
