reviewer,article
Osama Rashed Sayed,Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.
David Perry,Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.
Hermano Frid,On Row-Cyclic Codes with Algebraic Structure.
Chia-Lung Yeh,On Row-Cyclic Codes with Algebraic Structure.
Alper Korkmaz,On Row-Cyclic Codes with Algebraic Structure.
Andrew J. Hinchley,INDIGO: Better Geomagnetic Observatories Where We Need Them.
Dok Nam Lee,INDIGO: Better Geomagnetic Observatories Where We Need Them.
Moulay A. Barkatou,INDIGO: Better Geomagnetic Observatories Where We Need Them.
Laurent Chupin,Two-dimensional dot codes for product identification.
Roy Edgar Hansen,Two-dimensional dot codes for product identification.
Robert Finger,Two-dimensional dot codes for product identification.
Dok Nam Lee,Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.
Adel El-Faraskoury,Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.
Guangyuan Pan,Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.
Gabriel M. Silberman,Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.
Hidehisa Yoshida,Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.
Arvind Ramanathan,Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.
Theodosios Pavlidis,The role and problems of legal culture in the social security of the population of the Republic of Kazakhstan.
Duyan Bi,The role and problems of legal culture in the social security of the population of the Republic of Kazakhstan.
Heike Siebert,The role and problems of legal culture in the social security of the population of the Republic of Kazakhstan.
Keecheon Kim,Consistency degrees of theories in some systems of propositional fuzzy logic.
Le Deng,Consistency degrees of theories in some systems of propositional fuzzy logic.
Ilan Abramovici,Consistency degrees of theories in some systems of propositional fuzzy logic.
Cynthia Jane Solomon,Explorations into Virtual Architecture: A HIT Lab Gallery.
Haowei Xu,Explorations into Virtual Architecture: A HIT Lab Gallery.
Diogo Poças,Explorations into Virtual Architecture: A HIT Lab Gallery.
Anna Maria Paganoni,Investigating voice in action teams: a critical review.
Huiqin Xie,Investigating voice in action teams: a critical review.
Anita Schöbel,Investigating voice in action teams: a critical review.
Christopher I. Amos,Higher-order correlations in non-stationary parallel spike trains: statistical modeling and inference.
Jiaqi Zhang 0001,Higher-order correlations in non-stationary parallel spike trains: statistical modeling and inference.
Daniel Cullina,Higher-order correlations in non-stationary parallel spike trains: statistical modeling and inference.
Hen-Wai Tsao,Survey of security services on group communications.
Karl-Heinz Best,Survey of security services on group communications.
Keecheon Kim,Survey of security services on group communications.
Cynthia Jane Solomon,Deterministic Extractors for Bit-Fixing Sources and Exposure-Resilient Cryptography.
Guangyuan Pan,Deterministic Extractors for Bit-Fixing Sources and Exposure-Resilient Cryptography.
Kanad Chakraborty,Deterministic Extractors for Bit-Fixing Sources and Exposure-Resilient Cryptography.
Mazen O. Hasna,Cognitive strategies observed during problem solving with LOGO.
Keecheon Kim,Cognitive strategies observed during problem solving with LOGO.
Hen-Wai Tsao,Cognitive strategies observed during problem solving with LOGO.
Ming Zhang,Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.
K. R. Ramakrishnan,Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.
Mazen O. Hasna,Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.
Babak Farzad,Detection of Structural Changes in Tachogram Series for the Diagnosis of Atrial Fibrillation Events.
Amir Shmuel,Detection of Structural Changes in Tachogram Series for the Diagnosis of Atrial Fibrillation Events.
Kanad Chakraborty,Detection of Structural Changes in Tachogram Series for the Diagnosis of Atrial Fibrillation Events.
Kanad Chakraborty,H
Babak Farzad,H
Vera Tilson,H
Danni Zhu,SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).
Erik Meineche Schmidt,SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).
Lianjun Xiao,SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).
Vera Tilson,Spectral Embedded Deep Clustering.
N. C. Simpson,Spectral Embedded Deep Clustering.
Dariusz Fabianowski,Spectral Embedded Deep Clustering.
Arthur J. Davidson,Faster Similarity Search for Multimedia Data Via Query Transformations.
Daniel Cullina,Faster Similarity Search for Multimedia Data Via Query Transformations.
Hen-Wai Tsao,Faster Similarity Search for Multimedia Data Via Query Transformations.
Qiqi Wang,INTRODUCTION. Systèmes d'organisation des connaissances hétérogènes pour les applications documentaires.
Fabian Rothmaier,INTRODUCTION. Systèmes d'organisation des connaissances hétérogènes pour les applications documentaires.
Amir Shmuel,INTRODUCTION. Systèmes d'organisation des connaissances hétérogènes pour les applications documentaires.
Huijun Wu,Extending and interpreting Post's programme.
David Perry,Extending and interpreting Post's programme.
David Dagan Feng,Extending and interpreting Post's programme.
Danni Zhu,Architectures reconfigurable et faible consommation. Réalité ou prospective ?
Hen-Wai Tsao,Architectures reconfigurable et faible consommation. Réalité ou prospective ?
Adriano Meta,Architectures reconfigurable et faible consommation. Réalité ou prospective ?
N. C. Simpson,Engagement in the course of programming in higher education through the use of gamification.
David Dagan Feng,Engagement in the course of programming in higher education through the use of gamification.
Björn Berghausen,Engagement in the course of programming in higher education through the use of gamification.
Karl-Heinz Best,Improving the prediction performance of customer behavior through multiple imputation.
Robert Finger,Improving the prediction performance of customer behavior through multiple imputation.
Akira Suzuki,Improving the prediction performance of customer behavior through multiple imputation.
Björn Berghausen,Determinants of IS Planning Comprehensiveness.
Chih-Yuan Yao,Determinants of IS Planning Comprehensiveness.
Duyan Bi,Determinants of IS Planning Comprehensiveness.
Dan Suciu,Robust and Unobtrusive Display-to-Camera Communications via Blue Channel Embedding.
Laurent Chupin,Robust and Unobtrusive Display-to-Camera Communications via Blue Channel Embedding.
Fabio Nobile,Robust and Unobtrusive Display-to-Camera Communications via Blue Channel Embedding.
Ilan Abramovici,A Bidirectional Differential Cascode Voltage Switch DC-DC Buck-Boost Converter for Low Voltage Application.
Laurent Chupin,A Bidirectional Differential Cascode Voltage Switch DC-DC Buck-Boost Converter for Low Voltage Application.
Amaro de Sousa,A Bidirectional Differential Cascode Voltage Switch DC-DC Buck-Boost Converter for Low Voltage Application.
Wirt Atmar,Uncertain Currency Model and Currency Option Pricing.
Babak Farzad,Uncertain Currency Model and Currency Option Pricing.
Chia-Lung Yeh,Uncertain Currency Model and Currency Option Pricing.
Ilan Abramovici,Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.
Christopher I. Amos,Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.
Andrzej Omieljanowicz,Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.
Abbas Heydari,Optimal power allocation for relayed transmissions over Rayleigh-fading channels.
Björn Berghausen,Optimal power allocation for relayed transmissions over Rayleigh-fading channels.
Keecheon Kim,Optimal power allocation for relayed transmissions over Rayleigh-fading channels.
David Perry,Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.
Di Li 0003,Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.
Renbiao Wu,Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.
Diogo Poças,Correlation Coefficients for a Study with Repeated Measures.
Amir Shmuel,Correlation Coefficients for a Study with Repeated Measures.
Luca Schenato 0001,Correlation Coefficients for a Study with Repeated Measures.
Amir Shmuel,R & D indicators and socio-economic cohesion.
Norman F. Schneidewind,R & D indicators and socio-economic cohesion.
Cynthia Jane Solomon,R & D indicators and socio-economic cohesion.
Laurent Chupin,Mechanisms of ventricular arrhythmias elicited by coexistence of multiple electrophysiological remodeling in ischemia: A simulation study.
Norman F. Schneidewind,Mechanisms of ventricular arrhythmias elicited by coexistence of multiple electrophysiological remodeling in ischemia: A simulation study.
K. R. Ramakrishnan,Mechanisms of ventricular arrhythmias elicited by coexistence of multiple electrophysiological remodeling in ischemia: A simulation study.
Dok Nam Lee,Bilateral vs. Paretic-Limb-Only Ankle Exoskeleton Assistance for Improving Hemiparetic Gait: A Case Series.
Oliver Marschollek,Bilateral vs. Paretic-Limb-Only Ankle Exoskeleton Assistance for Improving Hemiparetic Gait: A Case Series.
Haowei Xu,Bilateral vs. Paretic-Limb-Only Ankle Exoskeleton Assistance for Improving Hemiparetic Gait: A Case Series.
Ilan Abramovici,Lightweight Secure Message Delivery for E2E S2S Communication in the IoT-Cloud System.
Heike Siebert,Lightweight Secure Message Delivery for E2E S2S Communication in the IoT-Cloud System.
E. A. Mary Anita,Lightweight Secure Message Delivery for E2E S2S Communication in the IoT-Cloud System.
Aku Riihelä,RIO configuration optimization for assured service in diffserv networks.
Akira Suzuki,RIO configuration optimization for assured service in diffserv networks.
Jan Camenisch,RIO configuration optimization for assured service in diffserv networks.
Andrzej Omieljanowicz,Perceptual non-intrusive speech quality assessment using a self-organizing map.
Roy Edgar Hansen,Perceptual non-intrusive speech quality assessment using a self-organizing map.
Adriano Meta,Perceptual non-intrusive speech quality assessment using a self-organizing map.
Hen-Wai Tsao,Compilation des contraintes booléennes n-aires pour le traitement des CSP dynamiques.
Huiqin Xie,Compilation des contraintes booléennes n-aires pour le traitement des CSP dynamiques.
Jiang Ma,Compilation des contraintes booléennes n-aires pour le traitement des CSP dynamiques.
Adriano Meta,Knightian decision theory and econometric inferences.
Daniela Guaiana,Knightian decision theory and econometric inferences.
E. Lerzan Örmeci,Knightian decision theory and econometric inferences.
Christopher I. Amos,When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.
Vera Tilson,When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.
Luca Schenato 0001,When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.
John T. Fredricksen,Hitori Numbers.
André Raspaud,Hitori Numbers.
Danni Zhu,Hitori Numbers.
Andrew J. Hinchley,FAC: A Functional APL Language.
Jiang Ma,FAC: A Functional APL Language.
Aida Pliuskeviciene,FAC: A Functional APL Language.
Chia-Lung Yeh,Heavy-tails in Kalman filtering with packet losses.
Guangyuan Pan,Heavy-tails in Kalman filtering with packet losses.
David Dagan Feng,Heavy-tails in Kalman filtering with packet losses.
Daniela Guaiana,Model predictive sliding mode control of six-phase induction motor using nine-switch converter.
Akira Suzuki,Model predictive sliding mode control of six-phase induction motor using nine-switch converter.
Diogo Poças,Model predictive sliding mode control of six-phase induction motor using nine-switch converter.
Adel El-Faraskoury,Towards context aware tracking: a flatness based automotive oriented scheme with elastic execution time and sheaf determination.
Fabian Rothmaier,Towards context aware tracking: a flatness based automotive oriented scheme with elastic execution time and sheaf determination.
Moulay A. Barkatou,Towards context aware tracking: a flatness based automotive oriented scheme with elastic execution time and sheaf determination.
Robert Finger,Prometheus or Pandora: The Influence of Automation on Society.
Danni Zhu,Prometheus or Pandora: The Influence of Automation on Society.
Di Li 0003,Prometheus or Pandora: The Influence of Automation on Society.
Constant Solimando,GCLR: GNN-Based Cross Layer Optimization for Multipath TCP by Routing.
Andrew J. Hinchley,GCLR: GNN-Based Cross Layer Optimization for Multipath TCP by Routing.
C. G. Parthipan,GCLR: GNN-Based Cross Layer Optimization for Multipath TCP by Routing.
Osama Rashed Sayed,Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.
Guangyuan Pan,Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.
M. I. Cohen,Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.
Karl-Heinz Best,Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.
Kanad Chakraborty,Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.
Dariusz Fabianowski,Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.
Bita Alipasandi,A biochemical multi-species quality model of a drinking water distribution system for simulation and design.
Daniela Guaiana,A biochemical multi-species quality model of a drinking water distribution system for simulation and design.
Arun Mittal,A biochemical multi-species quality model of a drinking water distribution system for simulation and design.
Oliver Marschollek,Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.
Duyan Bi,Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.
Akira Suzuki,Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.
Ahmed M. Mohamed,On the Divergence and the Joshi Dependence Measure in Feature Selection.
Arturo Molina 0001,On the Divergence and the Joshi Dependence Measure in Feature Selection.
E. A. Mary Anita,On the Divergence and the Joshi Dependence Measure in Feature Selection.
Daniel Cullina,Early Flame Detection in Video Sequences based on D-S Evidence Theory.
Adriano Meta,Early Flame Detection in Video Sequences based on D-S Evidence Theory.
Laurent Chupin,Early Flame Detection in Video Sequences based on D-S Evidence Theory.
Keecheon Kim,The role of low-frequency oscillations in three-dimensional perception with depth cues in virtual reality.
Di Li 0003,The role of low-frequency oscillations in three-dimensional perception with depth cues in virtual reality.
Renbiao Wu,The role of low-frequency oscillations in three-dimensional perception with depth cues in virtual reality.
Akira Suzuki,Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.
Hermano Frid,Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.
Björn Berghausen,Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.
Arun Mittal,Demand-oblivious routing with planned link pruning.
Babak Farzad,Demand-oblivious routing with planned link pruning.
Arvind Ramanathan,Demand-oblivious routing with planned link pruning.
Wirt Atmar,Environmental social governance management: a theoretical perspective for the role of disclosure in the supply chain.
Heike Siebert,Environmental social governance management: a theoretical perspective for the role of disclosure in the supply chain.
Babak Farzad,Environmental social governance management: a theoretical perspective for the role of disclosure in the supply chain.
Hai-Wei Sun,Robotic sound-source localisation architecture using cross-correlation and recurrent neural networks.
Hen-Wai Tsao,Robotic sound-source localisation architecture using cross-correlation and recurrent neural networks.
Jiang Ma,Robotic sound-source localisation architecture using cross-correlation and recurrent neural networks.
Karl-Heinz Best,"MOLAR: A Cost-Efficient, High-Performance SSD-Based Hybrid Storage Cache."
Di Li 0003,"MOLAR: A Cost-Efficient, High-Performance SSD-Based Hybrid Storage Cache."
Robert Finger,"MOLAR: A Cost-Efficient, High-Performance SSD-Based Hybrid Storage Cache."
Guangyuan Pan,A nonlinear state estimation framework for humanoid robots.
Christopher I. Amos,A nonlinear state estimation framework for humanoid robots.
Vera Tilson,A nonlinear state estimation framework for humanoid robots.
Theodosios Pavlidis,Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.
M. I. Cohen,Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.
Hermano Frid,Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.
Arturo Molina 0001,Wideband Interferometry in Synthetic Aperture Sonar.
Kanad Chakraborty,Wideband Interferometry in Synthetic Aperture Sonar.
Constant Solimando,Wideband Interferometry in Synthetic Aperture Sonar.
Danni Zhu,Substitutive Systems and a Finitary Version of Cobham's Theorem.
Huiqin Xie,Substitutive Systems and a Finitary Version of Cobham's Theorem.
Lukasz Maksymiuk,Substitutive Systems and a Finitary Version of Cobham's Theorem.
S. Twomey,Service-Oriented Atmospheric Radiances (SOAR): Gridding and Analysis Services for Multisensor Aqua IR Radiance Data for Climate Studies.
E. Lerzan Örmeci,Service-Oriented Atmospheric Radiances (SOAR): Gridding and Analysis Services for Multisensor Aqua IR Radiance Data for Climate Studies.
Arthur J. Davidson,Service-Oriented Atmospheric Radiances (SOAR): Gridding and Analysis Services for Multisensor Aqua IR Radiance Data for Climate Studies.
Roy Edgar Hansen,A statistical feature data mining framework for constructing scholars' career trajectories in academic data.
Lianjun Xiao,A statistical feature data mining framework for constructing scholars' career trajectories in academic data.
Arturo Molina 0001,A statistical feature data mining framework for constructing scholars' career trajectories in academic data.
Theodore Hailperin,Comment on the Public Key Substitution Attacks.
Karl-Heinz Best,Comment on the Public Key Substitution Attacks.
Anita Schöbel,Comment on the Public Key Substitution Attacks.
Kanad Chakraborty,Optimization driven multi-hop network design and experimentation: the approach of the FP7 project OPNEX.
Fabian Rothmaier,Optimization driven multi-hop network design and experimentation: the approach of the FP7 project OPNEX.
Norman F. Schneidewind,Optimization driven multi-hop network design and experimentation: the approach of the FP7 project OPNEX.
Chaojiang Wu,Fundamentals of Implementing Real-Time Control Applications in Distributed Computer Systems.
Hen-Wai Tsao,Fundamentals of Implementing Real-Time Control Applications in Distributed Computer Systems.
S. Twomey,Fundamentals of Implementing Real-Time Control Applications in Distributed Computer Systems.
Danni Zhu,Exponential stability and solution bounds for systems with bounded nonlinearities.
K. R. Ramakrishnan,Exponential stability and solution bounds for systems with bounded nonlinearities.
Lianjun Xiao,Exponential stability and solution bounds for systems with bounded nonlinearities.
Huijun Wu,Dual-Input Transformer: An End-to-End Model for Preoperative Assessment of Pathological Complete Response to Neoadjuvant Chemotherapy in Breast Cancer Ultrasonography.
Arturo Molina 0001,Dual-Input Transformer: An End-to-End Model for Preoperative Assessment of Pathological Complete Response to Neoadjuvant Chemotherapy in Breast Cancer Ultrasonography.
Chi-Wang Shu,Dual-Input Transformer: An End-to-End Model for Preoperative Assessment of Pathological Complete Response to Neoadjuvant Chemotherapy in Breast Cancer Ultrasonography.
Louise A. Mawn,A new rough cloud AHP method for risk evaluation of public-private partnership projects.
Gabriel M. Silberman,A new rough cloud AHP method for risk evaluation of public-private partnership projects.
Kwok-Kai Soo,A new rough cloud AHP method for risk evaluation of public-private partnership projects.
Dinesh Manocha,Adaptive Sliding Mode Based Stabilization Control for the Class of Underactuated Mechanical Systems.
Theodosios Pavlidis,Adaptive Sliding Mode Based Stabilization Control for the Class of Underactuated Mechanical Systems.
Oliver Marschollek,Adaptive Sliding Mode Based Stabilization Control for the Class of Underactuated Mechanical Systems.
Vera Tilson,CAHR: A Contextually Adaptive Home-Based Rehabilitation Framework.
David T. Wong,CAHR: A Contextually Adaptive Home-Based Rehabilitation Framework.
Osama Rashed Sayed,CAHR: A Contextually Adaptive Home-Based Rehabilitation Framework.
Chi-Sang Jung,Optimal control of the behavior of solutions of an initial boundary value problem simulating rotation of a solid with an elastic rod.
Le Deng,Optimal control of the behavior of solutions of an initial boundary value problem simulating rotation of a solid with an elastic rod.
Ilan Abramovici,Optimal control of the behavior of solutions of an initial boundary value problem simulating rotation of a solid with an elastic rod.
E. Lerzan Örmeci,Parallelizing a finite element solver in computational hemodynamics.
David T. Wong,Parallelizing a finite element solver in computational hemodynamics.
Arun Mittal,Parallelizing a finite element solver in computational hemodynamics.
Danni Zhu,DA-DRLS: Drift adaptive deep reinforcement learning based scheduling for IoT resource management.
Fabian Rothmaier,DA-DRLS: Drift adaptive deep reinforcement learning based scheduling for IoT resource management.
Hidehisa Yoshida,DA-DRLS: Drift adaptive deep reinforcement learning based scheduling for IoT resource management.
David Dagan Feng,Lattice pseudoeffect algebras as double residuated structures.
Mazen O. Hasna,Lattice pseudoeffect algebras as double residuated structures.
David T. Wong,Lattice pseudoeffect algebras as double residuated structures.
Robert Finger,A tandem queueing model with coupled processors.
Qiqi Wang,A tandem queueing model with coupled processors.
Karl-Heinz Best,A tandem queueing model with coupled processors.
Luca Schenato 0001,Geoinformatics education in China.
Theodosios Pavlidis,Geoinformatics education in China.
Hady Pranoto,Geoinformatics education in China.
Alper Korkmaz,Review Paper: Roundtable on Bioterrorism Detection: Information System-based Surveillance.
Hen-Wai Tsao,Review Paper: Roundtable on Bioterrorism Detection: Information System-based Surveillance.
Erik Meineche Schmidt,Review Paper: Roundtable on Bioterrorism Detection: Information System-based Surveillance.
M. I. Cohen,An efficient and scalable approach for mining subgraphs in a single large graph.
Adel El-Faraskoury,An efficient and scalable approach for mining subgraphs in a single large graph.
Anton Schiela,An efficient and scalable approach for mining subgraphs in a single large graph.
Moulay A. Barkatou,The Changing Library Environment.
Danni Zhu,The Changing Library Environment.
Diogo Poças,The Changing Library Environment.
Andrzej Omieljanowicz,Design Optimization of Redundantly Actuated Cable-Driven Parallel Robots for Automated Warehouse System.
Ming Zhang,Design Optimization of Redundantly Actuated Cable-Driven Parallel Robots for Automated Warehouse System.
Daniel Cullina,Design Optimization of Redundantly Actuated Cable-Driven Parallel Robots for Automated Warehouse System.
Chi-Wang Shu,Spinal alignment measurement in standing position using stereo-view roentgenography without positional calibration.
Christopher I. Amos,Spinal alignment measurement in standing position using stereo-view roentgenography without positional calibration.
Amir Shmuel,Spinal alignment measurement in standing position using stereo-view roentgenography without positional calibration.
