name,area,type
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,Machine Learning,paper
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,Data Modeling,paper
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,Data Management,paper
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,Computer Networking,paper
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,MLOps,paper
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,Data Processing,paper
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,Indexing,paper
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,Information Systems,paper
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,Data structures & Algorithms,paper
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,Hardware,paper
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,Data Science,paper
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,Machine Learning,paper
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,Data Modeling,paper
Leverage Point Identification Method for LAV-Based State Estimation.,Data Management,paper
Leverage Point Identification Method for LAV-Based State Estimation.,MLOps,paper
Leverage Point Identification Method for LAV-Based State Estimation.,Operating Systems,paper
Leverage Point Identification Method for LAV-Based State Estimation.,Distributed Systems,paper
Leverage Point Identification Method for LAV-Based State Estimation.,Information Systems,paper
Leverage Point Identification Method for LAV-Based State Estimation.,Data Science,paper
Leverage Point Identification Method for LAV-Based State Estimation.,Machine Learning,paper
Singular value decomposition of time-varying matrices.,Data Management,paper
Singular value decomposition of time-varying matrices.,Computer Architecture,paper
Singular value decomposition of time-varying matrices.,Computer Networking,paper
Singular value decomposition of time-varying matrices.,Languages & Compilers,paper
Singular value decomposition of time-varying matrices.,MLOps,paper
Singular value decomposition of time-varying matrices.,Indexing,paper
Singular value decomposition of time-varying matrices.,Distributed Systems,paper
Singular value decomposition of time-varying matrices.,Data structures & Algorithms,paper
Singular value decomposition of time-varying matrices.,Hardware,paper
Singular value decomposition of time-varying matrices.,Data Science,paper
Singular value decomposition of time-varying matrices.,Data Modeling,paper
Functional proteomic pattern identification under low dose ionizing radiation.,Data Management,paper
Functional proteomic pattern identification under low dose ionizing radiation.,MLOps,paper
Functional proteomic pattern identification under low dose ionizing radiation.,Data Processing,paper
Functional proteomic pattern identification under low dose ionizing radiation.,Languages & Compilers,paper
Functional proteomic pattern identification under low dose ionizing radiation.,Distributed Systems,paper
Functional proteomic pattern identification under low dose ionizing radiation.,Computer Science,paper
Functional proteomic pattern identification under low dose ionizing radiation.,Mathematics for Computer Science,paper
Functional proteomic pattern identification under low dose ionizing radiation.,Information Systems,paper
Functional proteomic pattern identification under low dose ionizing radiation.,Hardware,paper
Functional proteomic pattern identification under low dose ionizing radiation.,Data Science,paper
Functional proteomic pattern identification under low dose ionizing radiation.,Databases,paper
Functional proteomic pattern identification under low dose ionizing radiation.,Data Modeling,paper
Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,Data Management,paper
Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,Computer Architecture,paper
Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,Languages & Compilers,paper
Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,Operating Systems,paper
Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,Indexing,paper
Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,Computer Science,paper
Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,Mathematics for Computer Science,paper
Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,Hardware,paper
Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,Databases,paper
Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,Machine Learning,paper
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,Data Management,paper
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,Computer Architecture,paper
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,MLOps,paper
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,Computer Networking,paper
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,Languages & Compilers,paper
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,Indexing,paper
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,Big Data,paper
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,Distributed Systems,paper
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,Computer Science,paper
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,Mathematics for Computer Science,paper
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,Data structures & Algorithms,paper
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,Hardware,paper
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,Data Science,paper
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,Databases,paper
eHR Cloud Transformation: Implementation Approach and Success Factors.,Computer Architecture,paper
eHR Cloud Transformation: Implementation Approach and Success Factors.,MLOps,paper
eHR Cloud Transformation: Implementation Approach and Success Factors.,Operating Systems,paper
eHR Cloud Transformation: Implementation Approach and Success Factors.,Computer Science,paper
eHR Cloud Transformation: Implementation Approach and Success Factors.,Data Science,paper
eHR Cloud Transformation: Implementation Approach and Success Factors.,Machine Learning,paper
FCC's Broadband Quartet: A State-Federal Fugue or Feud?,Data Management,paper
FCC's Broadband Quartet: A State-Federal Fugue or Feud?,Data Processing,paper
FCC's Broadband Quartet: A State-Federal Fugue or Feud?,Languages & Compilers,paper
FCC's Broadband Quartet: A State-Federal Fugue or Feud?,Operating Systems,paper
FCC's Broadband Quartet: A State-Federal Fugue or Feud?,Indexing,paper
FCC's Broadband Quartet: A State-Federal Fugue or Feud?,Big Data,paper
FCC's Broadband Quartet: A State-Federal Fugue or Feud?,Computer Science,paper
FCC's Broadband Quartet: A State-Federal Fugue or Feud?,Data structures & Algorithms,paper
FCC's Broadband Quartet: A State-Federal Fugue or Feud?,Hardware,paper
FCC's Broadband Quartet: A State-Federal Fugue or Feud?,Data Science,paper
FCC's Broadband Quartet: A State-Federal Fugue or Feud?,Data Modeling,paper
Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,Computer Networking,paper
Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,Data Processing,paper
Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,Languages & Compilers,paper
Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,Operating Systems,paper
Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,Big Data,paper
Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,Mathematics for Computer Science,paper
Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,Hardware,paper
Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,Data Science,paper
Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,Databases,paper
Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,Machine Learning,paper
Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,Data Modeling,paper
The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.,Computer Architecture,paper
The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.,Computer Science,paper
The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.,Mathematics for Computer Science,paper
The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.,Information Systems,paper
The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.,Data structures & Algorithms,paper
The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.,Data Science,paper
Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,MLOps,paper
Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,Data Processing,paper
Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,Languages & Compilers,paper
Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,Indexing,paper
Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,Big Data,paper
Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,Computer Science,paper
Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,Information Systems,paper
Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,Data structures & Algorithms,paper
Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,Hardware,paper
Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,Data Science,paper
Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,Databases,paper
PRALINE,Computer Architecture,paper
PRALINE,Data Processing,paper
PRALINE,Operating Systems,paper
PRALINE,Indexing,paper
PRALINE,Data Science,paper
PRALINE,Data Modeling,paper
Editorial.,Computer Science,paper
Editorial.,Big Data,paper
Editorial.,Distributed Systems,paper
Editorial.,Data structures & Algorithms,paper
Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.,Computer Architecture,paper
Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.,Languages & Compilers,paper
Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.,Mathematics for Computer Science,paper
Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.,Hardware,paper
Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.,Data Modeling,paper
A knowledge based decision support system for computer performance management.,Data Management,paper
A knowledge based decision support system for computer performance management.,Computer Science,paper
A knowledge based decision support system for computer performance management.,Data Science,paper
A knowledge based decision support system for computer performance management.,Databases,paper
A knowledge based decision support system for computer performance management.,Machine Learning,paper
Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,Computer Architecture,paper
Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,Data Processing,paper
Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,Operating Systems,paper
Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,Indexing,paper
Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,Computer Science,paper
Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,Information Systems,paper
Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,Hardware,paper
Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,Data Science,paper
Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,Machine Learning,paper
An interval statistical procedure for use in validation of simulation models.,Computer Architecture,paper
An interval statistical procedure for use in validation of simulation models.,Computer Networking,paper
An interval statistical procedure for use in validation of simulation models.,Data Processing,paper
An interval statistical procedure for use in validation of simulation models.,Indexing,paper
An interval statistical procedure for use in validation of simulation models.,Distributed Systems,paper
An interval statistical procedure for use in validation of simulation models.,Mathematics for Computer Science,paper
An interval statistical procedure for use in validation of simulation models.,Data Science,paper
An interval statistical procedure for use in validation of simulation models.,Databases,paper
An interval statistical procedure for use in validation of simulation models.,Data Modeling,paper
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Computer Architecture,paper
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Data Processing,paper
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Languages & Compilers,paper
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Indexing,paper
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Big Data,paper
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Distributed Systems,paper
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Mathematics for Computer Science,paper
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Information Systems,paper
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Data Science,paper
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Databases,paper
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Machine Learning,paper
On Row-Cyclic Codes with Algebraic Structure.,Data Management,paper
On Row-Cyclic Codes with Algebraic Structure.,Computer Architecture,paper
On Row-Cyclic Codes with Algebraic Structure.,MLOps,paper
On Row-Cyclic Codes with Algebraic Structure.,Data Processing,paper
On Row-Cyclic Codes with Algebraic Structure.,Computer Networking,paper
On Row-Cyclic Codes with Algebraic Structure.,Operating Systems,paper
On Row-Cyclic Codes with Algebraic Structure.,Indexing,paper
On Row-Cyclic Codes with Algebraic Structure.,Big Data,paper
On Row-Cyclic Codes with Algebraic Structure.,Distributed Systems,paper
On Row-Cyclic Codes with Algebraic Structure.,Computer Science,paper
On Row-Cyclic Codes with Algebraic Structure.,Mathematics for Computer Science,paper
On Row-Cyclic Codes with Algebraic Structure.,Information Systems,paper
On Row-Cyclic Codes with Algebraic Structure.,Machine Learning,paper
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Computer Architecture,paper
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Computer Networking,paper
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Languages & Compilers,paper
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Data Processing,paper
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Operating Systems,paper
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Big Data,paper
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Distributed Systems,paper
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Computer Science,paper
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Mathematics for Computer Science,paper
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Information Systems,paper
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Hardware,paper
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Data Science,paper
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Databases,paper
Two-dimensional dot codes for product identification.,Computer Networking,paper
Two-dimensional dot codes for product identification.,Data Processing,paper
Two-dimensional dot codes for product identification.,Operating Systems,paper
Two-dimensional dot codes for product identification.,Indexing,paper
Two-dimensional dot codes for product identification.,Distributed Systems,paper
Two-dimensional dot codes for product identification.,Computer Science,paper
Two-dimensional dot codes for product identification.,Mathematics for Computer Science,paper
Two-dimensional dot codes for product identification.,Hardware,paper
Two-dimensional dot codes for product identification.,Data Science,paper
Two-dimensional dot codes for product identification.,Databases,paper
Two-dimensional dot codes for product identification.,Machine Learning,paper
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,Data Management,paper
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,Computer Architecture,paper
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,MLOps,paper
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,Data Processing,paper
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,Languages & Compilers,paper
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,Computer Networking,paper
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,Indexing,paper
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,Big Data,paper
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,Data structures & Algorithms,paper
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,Hardware,paper
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,Data Science,paper
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,Machine Learning,paper
Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.,Computer Architecture,paper
Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.,Data Processing,paper
