proceeding,article
91,Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.
92,"Words, Videos, and Popes."
88,Research on Cluster Economy Operation Model Considering Customer Satisfaction.
60,"Predictive big data analytics for supply chain demand forecasting: methods, applications, and research opportunities."
50,Spectral Variability Augmented Two-Stream Network for Hyperspectral Sparse Unmixing.
26,Building a Technology Recommender System Using Web Crawling and Natural Language Processing Technology.
37,Q-Learning Based Physical-Layer Secure Game Against Multiagent Attacks.
7,A Generative Framework for Image-based Editing of Material Appearance using Perceptual Attributes.
92,Tensor-Based AAM with Continuous Variation Estimation: Application to Variation-Robust Face Recognition.
90,Construction of regular languages and recognizability of polynomials.
23,Hyper-Atoms Applied to the Critical Pair Theory.
19,Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.
22,Beyond the Impact Factor: measuring the international visibility of Romanian social sciences journals.
15,A High Precision Direction-Finding Method Based on Multi-Baseline for Target Rescue.
33,Dominating sets in triangulations on surfaces.
45,A new algorithm to estimate monotone nonparametric link functions and a comparison with parametric approach.
15,On Kalman filtering over fading wireless channels with controlled transmission powers.
41,Capacity- and Bayesian-Based Cognitive Sensing with Location Side Information.
35,On the Black-Box Complexity of Sperner's Lemma.
47,A hybrid genetic-particle swarm algorithm based on multilevel neighbourhood structure for flexible job shop scheduling problem.
63,Clustering bivariate mixed-type data via the cluster-weighted model.
100,Black-box attacks against log anomaly detection with adversarial examples.
85,Algebraic and combinatorial results for ranking competitors in a sequence of races.
76,A central limit theorem for normalized products of random matrices.
71,On evolutionary computing in multi-ship trajectory planning.
37,The significance of microprogramming.
1,Comparing Data Mining Models in Academic Analytics.
85,Pair-v-SVR: A Novel and Efficient Pairing nu-Support Vector Regression Algorithm.
54,Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of 
44,Real options analysis of investment in carbon capture and sequestration technology.
48,Gaussian beam launching for 3D physical modeling of propagation channels.
15,Improved hash and transmission method for larger packets in the RADIUS protocol.
1,"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model."
49,PDF/A: A Viable Addition to the Preservation Toolkit.
4,Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.
81,Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.
14,Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.
13,Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.
58,A comparative study between syringe-based and screw-based 3D food printers by computational simulation.
82,The Hierarchy of Distributional Chaos.
30,Query by Video Clip.
81,E-Commerce Growth and the Changing Structure of the Retail Sales Industry.
36,An efficient image aesthetic analysis system using Hadoop.
35,A fast graphics printing program for neurophysiological data.
22,A multimodal fusion approach for image captioning.
86,Comments on a cryptographic key assignment scheme.
49,Real-time multimedia broadcasting via direct-detection fiber-optic synchronous CDMA networks.
86,Quantification of Sub-Pixel Dynamics in High-Speed Neutron Imaging.
40,A Cognitive Reformation.
7,Sec-D2D: A Secure and Lightweight D2D Communication System With Multiple Sensors.
60,A real-time cloth draping simulation algorithm using conjugate harmonic functions.
74,Workshop der Nachwuchswissenschaftler/innen.
20,Propagation of Measurement Errors Through Body Composition Equations for Body Impedance Analysis.
74,Minimax Probability TSK Fuzzy System Classifier: A More Transparent and Highly Interpretable Classification Model.
3,Using a Parallel Helical Sensing Cable for the Distributed Measurement of Ground Deformation.
20,Analyzing the relationship between text features and grants productivity.
87,"8-Gb/s source-synchronous I/O link with adaptive receiver equalization, offset cancellation, and clock de-skew."
41,Towards multidimensional subspace skyline analysis.
32,Dedication.
26,An outcome of expert-oriented digitalization of university processes.
49,On the (Q-)index of 2-domination critical graphs.
61,A construction of vertex-transitive non-Cayley graphs.
19,On turbo encodedBicm.
67,Hybrid Blockchain Database Systems: Design and Performance.
16,"Microwave effect: analyzing citations from classic theories and their reinventions - a case study from a classic paper in aquatic ecology - Brooks & Dodson, 1965."
20,OWA filters and forecasting models applied to electric power load time series.
29,Mapping rectangular mesh algorithms onto asymptotically space-optimal arrays.
95,Parallel Simulated Annealing.
94,Derivation of dynamic electric and magnetic response properties based on the quasienergy derivative method.
8,A Novel Fuzzy Modeling Structure-Decomposed Fuzzy System.
12,"Evolution and Evaluation of Safety Offered by Active Safety, ADAS, and AD Systems."
44,Automatic seizure detection using a highly adaptive directional time-frequency distribution.
99,Feature Investigation of a Segmented Pole Quasi- Halbach Tubular-Linear Synchronous Machine.
13,Knowledge Management Capability in Nursing care Performance in Selected Teaching Hospitals in Southwest Nigeria.
61,Reliability Allocation Problem in Series-Parallel Systems: Ant Colony Optimization.
27,Collaborative adhocracies and mix-and-match technologies in emergency management.
97,Modelling Segmented Cardiotocography Time-Series Signals Using One-Dimensional Convolutional Neural Networks for the Early Detection of Abnormal Birth Outcomes.
59,"Quantifying Spike Train Oscillations: Biases, Distortions and Solutions."
21,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).
66,Post-anthropocentric creativity.
45,"Metaverse: Perspectives from graphics, interactions and visualization."
38,Compressible flows: New existence results and justification of the Reynolds asymptotic in thin films.
85,A VLSI architecture for dynamic scene analysis.
74,Optical Path Cross-Connect System Scale Evaluation Using Path Accommodation Design for Restricted Wavelength Multiplexing .
41,Predictive control for sector bounded nonlinear model and its application to solid oxide fuel cell systems.
17,Effective Resistance Preserving Directed Graph Symmetrization.
36,On Adaptive Influence Maximization Under General Feedback Models.
86,Integration of Sentinel-1 and Sentinel-2 Data for Land Cover Mapping Using W-Net.
88,Distributed Acoustic Sensing for Monitoring Linear Infrastructures: Current Status and Trends.
70,Offline-Enhanced Reduced Basis Method Through Adaptive Construction of the Surrogate Training Set.
29,Second-order statistics of system with 
95,"The failure of the ""localisationist project"" in mental medicine in nineteenth century France and the emergence of the neurological clinic."
17,Large scale content distribution protocols.
58,Next2You: Robust Copresence Detection Based on Channel State Information.
21,On numbers of vertices of maximum degree in the spanning trees of a graph.
26,Movement Pattern Recognition of Medaka for an Insecticide: A Comparison of Decision Tree and Neural Network.
54,A Framework for GNSS Spoofing Detection Through Combinations of Metrics.
60,Belief function of Pythagorean fuzzy rough approximation space and its applications.
96,Service-Oriented Architecture on FPGA-Based MPSoC.
50,Design and Implementation of Smart Multi-Touch Interface Using Special Purpose CORDIC Processor.
83,Low-Cost Passive Beamforming for RIS-Aided Wideband OFDM Systems.
44,Dissociation of Working Memory Processing Associated with Native and Second Languages: PET Investigation.
19,"Statistical genetics & statistical genomics: Where biology, epistemology, statistics, and computation collide."
98,Learning stacking regression for no-reference super-resolution image quality assessment.
6,Optimizing Spatial Mapping of Nested Loop for Coarse-Grained Reconfigurable Architectures.
89,On Submesh Allocation for Mesh Multicomputers: A Best-Fit Allocation and a Virtual Submesh Allocation for Faulty Meshes.
99,Is There a Fourth Law for Non-Ergodic Systems That Do Work to Construct Their Expanding Phase Space?
43,Online detection and removal of eye blink artifacts from electroencephalogram.
13,Graph decomposition with applications to subdivisions and path systems modulo 
85,A Formal Approach to Incremental Converter Synthesis for System-on-Chip Design.
25,Stability of Non-constant Equilibrium Solutions for Bipolar Full Compressible Navier-Stokes-Maxwell Systems.
78,Static Scheduling for Dynamic Dataflow Machines.
89,Geometric Mean for Subspace Selection.
31,Accelerating Multipattern Matching on Compressed HTTP Traffic.
45,Traffic Hazards on the Superhighway.
5,The Relationship Between Trust and Use Choice in Human-Robot Interaction.
13,Fast approximate solution of Bloch equation for simulation of RF artifacts in Magnetic Resonance Imaging.
98,Stability of digital filters subject to external interference and state-delay.
100,Quantitative evaluation of fiber tractography with a Delaunay triangulation-based interpolation approach.
5,Highly Specific and Cost-Efficient Detection of 
60,LED Half-Power Angle Optimization for Ultra-Dense Indoor Visible Light Communication Network Deployment.
63,Optimal Data Rate for Reliable Packet Communications in Laplace Noise.
47,A Predictive Control-Based Approach to Networked Hammerstein Systems: Design and Stability Analysis.
4,Algorithms for Shape Analysis of Contours and Waveforms.
65,FEA Modeling of Soft Tissue Interaction for Active Needles With a Rotational Tip Joint.
30,Design of WAMS-Based Multiple HVDC Damping Control System.
10,Probabilistic constraint tightening techniques for trajectory planning with predictive control.
41,An Adaptive Piecewise Harmonic Analysis Method for Reconstructing Multi-Year Sea Surface Chlorophyll-A Time Series.
39,A Theory of Restricted Quantification I.
88,Magnetothermoelasticity with two relaxation times in conducting medium with variable electrical and thermal conductivity.
99,Query Optimization in Star Computer Networks.
54,Society Supports Software Engineering PE Examination.
57,Issues of Importance in Designing GaAs Microcomputer Systems.
90,A Hybrid Delay Design-for-Testability for Nonseparable RTL Controller-Data Path Circuits.
84,Security performance evaluation for biometric template protection techniques.
29,Linear and DF joint detectors for DS-CDMA communications using periodic long codes.
84,基于时变加权马尔科夫链的网络异常检测模型 (Network Anomaly Detection Model Based on Time-varying Weighted Markov Chain).
64,Maximum Matchings in General Graphs Through Randomization.
81,Animal behavior as a paradigm for developing robot autonomy.
75,Financial equilibrium with asymmetric information and random horizon.
41,Advances in Librarianship (Volume 33).
52,What can software engineers learn from manufacturing to improve software process and product?
99,Existence of 2m-1 Positive Solutions for Sturm-Liouville Boundary Value Problems with Linear Functional Boundary Conditions on the Half-Line.
64,Energy Efficient Reservation-Based Cluster Head Selection in WSNs.
40,QPRD: QoS-Aware Peering Routing Protocol for Delay-Sensitive Data in Hospital Body Area Network.
46,Tighter constant-factor time hierarchies.
56,Annotating and modeling empathy in spoken conversations.
54,A fully integrated feedback AGC loop for ZigBee (IEEE 802.15.4) RF transceiver applications.
70,G-stack modulated probe intensities on expression arrays - sequence corrections and signal calibration.
88,Accelerating Density Peak Clustering Algorithm.
37,Towards predictable wireless cyber-physical applications.
53,Productive Use of Failure in Inductive Proof.
80,A fast seed detection using local geometrical feature for automatic tracking of coronary arteries in CTA.
93,Fine-Grained Visual-Textual Representation Learning.
94,Supposed maximum information for comprehensible representations in SOM.
51,Basic Difference Between Brain and Computer: Integration of Asynchronous Processes Implemented as Hardware Model of the Retina.
40,Implementation of Machine Learning for Autonomic Capabilities in Self-Organizing Heterogeneous Networks.
27,Multichannel bandwidth allocation in a broadband packet switch.
98,On the Role of Land Surface Temperature as Proxy of Soil Moisture Status for Drought Monitoring in Europe.
32,"Sharing, Liking, Commenting, and Distressed? The Pathway Between Facebook Interaction and Psychological Distress."
33,On Recovery of Sparse Signals With Prior Support Information via Weighted ℓₚ-Minimization.
39,Internal Model Control of Permanent Magnet Synchronous Motor Using Support Vector Machine Generalized Inverse.
75,The user of the future: Reimagining how we think about information.
94,A mixed mimetic spectral element model of the rotating shallow water equations on the cubed sphere.
40,Coordinating Programs in the Network of Tasks Model.
18,"Analysis of bulk queue with unreliable service station, second optional repair, N-policy multiple vacation, loss and immediate feedback in production system."
91,Enhancing Information Retrieval Through Statistical Natural Language Processing: A Study of Collocation Indexing.
31,Mass Segmentation in Automated 3-D Breast Ultrasound Using Adaptive Region Growing and Supervised Edge-Based Deformable Model.
69,Sensitive Functions and Approximate Problems.
50,Algorithm 300: Coulomb wave functions.
66,"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics."
21,Assessment of changes in urban green spaces of Mashad city using satellite data.
46,Improved Speech Enhancement Considering Speech PSD Uncertainty.
59,A Quantum-Proof Non-Malleable Extractor With Application to Privacy Amplification against Active Quantum Adversaries.
15,Fault-tolerant aggregation: Flow-Updating meets Mass-Distribution.
8,Portable and Airborne Small Footprint LiDAR: Forest Canopy Structure Estimation of Fire Managed Plots.
88,Resultants over commutative idempotent semirings I: Algebraic aspect.
59,New techniques for untestable fault identification in sequential circuits.
65,A weighted strategy to handle likelihood uncertainty in Bayesian inference.
9,TCP Pegas: A PSO-based improvement over TCP Vegas.
80,Real controllability/stabilizability radius of LTI systems.
25,Link-Adaptive Mapper Designs for Space-Shift-Keying-Modulated MIMO Systems.
1,A library network model.
8,Noise Localization Method for Model Tests in a Large Cavitation Tunnel Using a Hydrophone Array.
67,K-means clustering analysis and evaluation for internet of acoustic environment characteristics.
42,Downlink Resource Sharing in Multichannel Device-to-Device Communication.
55,Association between triallelic polymorphism of the serotonin transporter and [
16,Low gate interface traps AlGaN/GaN HEMTs using a lattice matched ZrZnO transparent gate design.
49,On weighted unbalanced linguistic aggregation operators in group decision making.
25,Entanglement cost of generalised measurements.
85,A method to optimize evacuation instructions.
11,FPGA-Aware Scheduling Strategies at Hypervisor Level in Cloud Environments.
64,PANFIS: A Novel Incremental Learning Machine.
89,An efficiently computable subgraph pattern support measure: counting independent observations.
29,Review.
41,A neurophysiological approach to assess training outcome under stress: A virtual reality experiment of industrial shutdown maintenance using Functional Near-Infrared Spectroscopy (fNIRS).
84,An Empirical Study of Technological Factors Affecting Cloud Enterprise Resource Planning Systems Adoption.
41,LEDGERBENCH: A Framework for Benchmarking Ledger Databases.
29,DEM- and GIS-Based Analysis of Soil Erosion Depth Using Machine Learning.
71,Novel technique for preprocessing high dimensional time-course data from DNA microarray: mathematical model-based clustering.
99,Fractional wavelet transform based diagnostic system for brain tumor detection in MR imaging.
13,Waveform Interpolation-Based Speech Analysis/Synthesis for HMM-Based TTS Systems.
96,Book review.
94,Physics-Informed Hyperspectral Remote Sensing Image Synthesis With Deep Conditional Generative Adversarial Networks.
6,High-tech indicators: assessing the competitiveness of selected European countries.
32,A serial inventory system with supplier selection and order quantity allocation.
23,Clinical Outcome Prediction Using Single-Cell Data.
61,VSAT data networks.
15,A Novel 3D Indoor Localization Scheme Using Virtual Access Point.
61,"Pretense, Counterfactuals, and Bayesian Causal Models: Why What Is Not Real Really Matters."
56,On measuring the system coherency of quadratically nonlinear systems.
94,Directional Motion on Water Surface With Keel Extruded Footpads Propelled by Marangoni Effect.
8,3D IMPRESS vision expert system for automated construction of three-dimensional image processing procedures and its performance evaluation.
19,The relationship between sustainable business management and competitiveness: research trends and challenge.
24,Adaptive Geometry Image.
56,"On the optimal, fair and channel-aware cognitive radio network reconfiguration."
8,Indoor Magnetic Signature Based Localization Algorithm without Person-Dependent Parameter Calibration.
60,Online Stock Price Prediction Based on Interval Data Analysis.
78,Combat Models for RTS Games.
87,Topologic Proofs of Some Combinatorial Theorems.
96,Effects of Target Expansion on Selection Performance in Older Computer Users.
64,A generic framework for heap and value analyses of object-oriented programming languages.
72,Fingerprint classification using a feedback-based line detector.
75,The Questioning Turing Test.
77,Science in the Cloud: Allocation and Execution of Data-Intensive Scientific Workflows.
65,Local stability analysis for continuous-time Takagi-Sugeno fuzzy systems with time delay.
19,Characterization of unlabeled level planar trees.
14,A Study of Chaotic Maps Producing Symmetric Distributions in the Fish School Search Optimization Algorithm with Exponential Step Decay.
24,Coalition-Based Cooperative Packet Delivery under Uncertainty: A Dynamic Bayesian Coalitional Game.
65,Properties of 
25,Distributed proportion-integration-derivation formation control for second-order multi-agent systems with communication time delays.
91,An Extremal Problem on Sparse 0-1 Matrices.
30,Multipath Routing for Video Streaming inWireless Mesh Networks.
36,Observer-Based Consensus Protocol for Directed Switching Networks With a Leader of Nonzero Inputs.
33,Mercer and Wu-Srivastava generalisations of Steffensen's inequality.
94,Bridging gaps in handoffs: A continuity of care based approach.
45,Editorial: Supporting healthcare reform with augmented electronic medical records system.
47,A Smart Work Performance Measurement System for Police Officers.
80,The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.
1,On the non-idealness of cyclotomic families of pairing-friendly elliptic curves.
63,Learning to detect and understand drug discontinuation events from clinical narratives.
50,Absolutely expedient imitative behavior.
39,Seawater Battery-Based Wireless Marine Buoy System With Battery Degradation Prediction and Multiple Power Optimization Capabilities.
20,A multi-granularity heuristic-combining approach for censorship circumvention activity identification.
95,Feedback control for rotational movements in feature space.
12,Communication Quality Prediction for Internet of Vehicle (IoV) Networks: An Elman Approach.
53,WPS orchestration using the Taverna workbench: The eScience approach.
74,Does Information Technology Investment Influence a Firm's Market Value? A Case of Non-Publicly Traded Healthcare Firms.
14,Epistemology and economics.
23,Energy-saving distributed monitoring-based firefly algorithm in wireless sensors networks.
59,New Depth From Focus Filters in Active Monocular Vision Systems for Indoor 3-D Tracking.
59,Dynamic QoS control of multimedia applications based on 
64,Internet of vehicle's resource management in 5G networks using AI technologies: Current status and trends.
2,Asymptotically optimal quantizers for detection of I.I.D. data.
80,Automatic analysis of electronic digital circuits using list processing.
37,Expected model for portfolio selection with random fuzzy returns.
68,Reduced Prediction Saturation and View Effects for Estimating the Leaf Area Index of Winter Wheat.
25,Calculation and Analysis of Constant Stiffness Space for Redundant Cable-Driven Parallel Robots.
16,Scalable Parallel and Distributed Expert Database Systems with Predictive Load Balancing.
33,Region segmentation using information divergence measures.
5,Digital Earth: a new challenge and new vision.
51,A High-Efficiency Low-Voltage CMOS Rectifier for Harvesting Energy in Implantable Devices.
46,Assessment for soil improvement benefit of land rehabilitation in dump areas.
57,Sequent calculi for skeptical reasoning in predicate default logic and other nonmonotonic logics.
70,Transorbital target localization with augmented ophthalmologic surgical endoscopy.
74,Pulsar: A resource-control architecture for time-critical service-oriented applications.
21,Cyber Crime: How Technology Makes it Easy and What to do About it.
83,Error analysis for a non-standard class of differential quasi-interpolants.
81,On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.
60,Issues in International Public Data Networking.
57,"Automated detection and localisation of duplicated regions affected by reflection, rotation and scaling in image forensics."
99,An effective fusion defogging approach for single sea fog image.
46,An iterative approach for sparse direction-of-arrival estimation in co-prime arrays with off-grid targets.
56,An Optimized Cost Flow Algorithm to Spread Cells in Detailed Placement.
69,Meeting Food Quality and Safety Requirements with Active and Intelligent Packaging Techniques.
33,Real-time event detection using recurrent neural network in social sensors.
9,Contextual Factors in the Appearance of Consumer Robots: Exploratory Assessment of Perceived Anxiety Toward Humanlike Consumer Robots.
39,A Unified Algebraic Approach to 2-D and 3-D Motion Segmentation and Estimation.
42,Modeling Coverage in Camera Networks: A Survey.
43,An attitude-driven web consensus support system for heterogeneous group decision making.
20,SAR Target Configuration Recognition via Two-Stage Sparse Structure Representation.
68,Central versus local multiple stage inventory planning: An analysis of solutions.
86,Editorial pointers.
50,Distributed Nesterov Gradient and Heavy-Ball Double Accelerated Asynchronous Optimization.
92,Steganographic transmission in optical networks with the use of direct spread spectrum technique.
19,Convergence and steady-state analysis of the normalized least mean fourth algorithm.
89,Solving quadratic programs to high precision using scaled iterative refinement.
61,Remote Sensing Scene Graph and Knowledge Graph Matching with Parallel Walking Algorithm.
10,Hierarchical Layouts for Photo Libraries.
28,"ACM/Springer Mobile Networks and Applications (MONET) Special Issue on ""Advanced Mobile Applications and Intelligent Multimedia systems for Ubi-Com""."
82,A Global Linear and Local Quadratic Noninterior Continuation Method for Nonlinear Complementarity Problems Based on Chen-Mangasarian Smoothing Functions.
23,Coincidence of cooperative game theoretic solutions in the appointment problem.
95,Tame and wild kernels of quadratic imaginary number fields.
64,Probabilistic visual secret sharing schemes for grey-scale images and color images.
10,On the Declarative Specification of Models.
12,Phasor Estimation Algorithm Based on Complex Frequency Filters for Digital Relaying.
37,A Special Section on Cognitive Computing for Internet of Health Informatics Things.
16,A Lattice-Partition Framework of Downlink Non-Orthogonal Multiple Access Without SIC.
52,Road safety performance function analysis with visual feature importance of deep neural nets.
42,Simultaneous Domination in Graphs.
32,Existence of fuzzy prekernels and Mas-Colell bargaining sets in TU games.
53,Self-Selected Task Allocation.
48,A discontinuous Galerkin finite element method for directly solving the Hamilton-Jacobi equations.
66,GA-PPARM: constraint-based objective function and genetic algorithm for privacy preserved association rule mining.
46,Comprehensive Application of Spatial and Reasoned Thinking in Physical Education.
90,Social Media: An Eccentric Business Communication Tool for the 21st Century Marketers.
45,Homophily and Social Norms in Experimental Network Formation Games.
56,A Variable Step Size LMS Algorithm Using Fuzzy Logic.
100,A pragmatic approach to integrated process/device/circuit simulation for IC technology development.
83,Online education for developing contexts.
6,Numerical Minimization of Dirichlet Laplacian Eigenvalues of Four-Dimensional Geometries.
75,Cerebrospinal fluid control system.
8,Performance modeling of microsecond scale biological molecular dynamics simulations on heterogeneous architectures.
66,FUCEM: futuristic cooperation evaluation model using Markov process for evaluating node reliability and link stability in mobile ad hoc network.
34,Which security policies are enforceable by runtime monitors? A survey.
19,Face morphing attack detection and attacker identification based on a watchlist.
57,Austin Center for Design.
54,Information: 'I' vs. 'we' vs. 'they'.
8,Prototyping: generating ideas or cargo cult designs?
27,Systematic Integration of Design Methods.
81,Validation of the SARAH-E Satellite-Based Surface Solar Radiation Estimates over India.
53,Gewissensbits - wie würden Sie urteilen?
56,A Minimum Arclength Method for Removing Spikes in Empirical Mode Decomposition.
88,Integral geometry for the 1-norm.
93,The changing mouse embryo transcriptome at whole tissue and single-cell resolution.
69,Two-Pass Bilateral Smooth Filtering for Remote Sensing Imagery.
90,Short-Term Loan.
48,An admission control algorithm based on matching game and differentiated service in wireless mesh networks.
44,Design principles for the glycoprotein quality control pathway.
46,An Upper Bound for Ramanujan Primes.
24,Theoretical development of a probabilistic fuzzy model for opinion formation in social networks.
10,Real-time multiview data fusion for object tracking with RGBD sensors.
80,Guest Editors' Introduction: Special Issue on Cloud of Clouds.
37,MDP-based handover policy in wireless relay systems.
20,Publishing Artificial Intelligence Research Papers: A Tale of Three Journals.
78,Literate specifications.
24,An Operational Approach To Program Design.
97,Independent Updates and Incremental Agreement in Replicated Databases.
99,Creating Face Models from Vague Mental Images.
39,Solution algorithms for the generalized train unit shunting problem.
68,Impact of Factors Influencing Cyber Threats on Autonomous Vehicles.
35,Improving the Adversarial Robustness for Speaker Verification by Self-Supervised Learning.
36,Are Malware Detection Classifiers Adversarially Vulnerable to Actor-Critic based Evasion Attacks?
14,Sample size estimation in diagnostic test studies of biomedical informatics.
64,On rank of block Hankel matrix for 2-D frequency detection and estimation.
93,Initial Boundary Value Problem for Model Equations of Resistive Drift Wave Turbulence.
80,A constructive approach to examination timetabling based on adaptive decomposition and ordering.
31,High-Level Synthesis of Number-Theoretic Transform: A Case Study for Future Cryptosystems.
13,Almost Lyapunov functions for nonlinear systems.
22,A DEA approach for evaluating the efficiency and effectiveness of urban transit systems.
98,Computing-in-Memory for Performance and Energy-Efficient Homomorphic Encryption.
47,Analytical Methods for CDMA Systems with Parallel Interference Cancellation: The Large Deviation Approach.
26,Affinity Propagation Clustering of Measurements for Multiple Extended Target Tracking.
92,ggparliament: A ggplot2 extension for parliament plots in R.
7,miR-196a-2 Promotes Malignant Progression of Thyroid Carcinoma by Targeting NRXN1.
90,Monocular Semidirect Visual Odometry for Large-Scale Outdoor Localization.
4,Local bifurcation Boundary and Steady-State Security Boundary in Large Electric Power Systems: Numerical Studies.
98,Maximum semi-matching problem in bipartite graphs.
2,Feature-basierte Modellierung und Analyse von Variabilität in Produktlinienanforderungen.
61,Problem 11378.
79,Software Productivity in DevOps.
13,SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.
73,Updating the Agenda for Academic Libraries and Scholarly Communications.
65,Creating accessible educational multimedia through editing automatic speech recognition captioning in real time.
94,An extended KCF tracking algorithm based on TLD structure in low frame rate videos.
73,"Code Growth, Explicitly Defined Introns, and Alternative Selection Schemes."
15,Comparison of magnetic field distributions generated by various permanent magnets for transcranial static magnetic stimulation: A simulation study.
69,Does virtual reality affect behavioral intention? Testing engagement processes in a K-Pop video on YouTube.
78,Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.
67,Dimension quotients of metabelian Lie rings.
89,Markov Chain Model for Events Following Induced Abortion.
28,An Enhanced Secure Authentication Scheme for Vehicular Ad Hoc Networks Without Pairings.
57,Path partition for graphs with special blocks.
4,Shape symmetry analysis of breast tumors on ultrasound images.
71,"Triangular intuitionistic fuzzy random decision making based on combination of parametric estimation, score functions, and prospect theory."
38,"Reminiscences ""Back in the Good Old Days...""."
30,Open hypermedia for product support.
85,Correspondence of Trap Spaces in Different Models of Bioregulatory Networks.
41,The effects of transparency on trust in and acceptance of a content-based art recommender.
51,Intelligent Modeling and Verification 2014.
69,MyGeoHub - A sustainable and evolving geospatial science gateway.
74,Computational origami environment on the web.
