title,author
SDF-RVD: Restricted Voronoi Diagram on Signed Distance Field.,Wenping Wang
Product development resource allocation with foresight.,Nitin R. Joglekar
A Stochastic Model of Bin-Packing,Edward G. Coffman Jr.
A Stochastic Model of Bin-Packing,Kimming So
A Stochastic Model of Bin-Packing,Micha Hofri
Synthesis of custom interleaved memory systems.,Song Chen
Hunting Security Bugs in SoC Designs: Lessons Learned.,Mohammad-Mahdi Bidmeshki
Hunting Security Bugs in SoC Designs: Lessons Learned.,Monir Zaman
Hunting Security Bugs in SoC Designs: Lessons Learned.,Yiorgos Makris
Hunting Security Bugs in SoC Designs: Lessons Learned.,Yunjie Zhang
Design Considerations for Delivering E-Learning to Surgical Trainees.,Willem-Paul Brinkman
Shortest Path Routing Protocol Based on the Vertical Angle for Underwater Acoustic Networks.,Meiju Li
Shortest Path Routing Protocol Based on the Vertical Angle for Underwater Acoustic Networks.,Xin Liu 0080
Shortest Path Routing Protocol Based on the Vertical Angle for Underwater Acoustic Networks.,Xiujuan Du
Web services: measuring practitioner attitude.,H. Singh
Web services: measuring practitioner attitude.,P. Joshi
Multigrid Methods for Systems of Hyperbolic Conservation Laws.,Swathi Amarala
Is Homomorphic Encryption-Based Deep Learning Secure Enough?,SeokHwan Choi
Is Homomorphic Encryption-Based Deep Learning Secure Enough?,Yoon-Ho Choi
DBSC-Based Grayscale Line Image Vectorization.,Jie Qiu 0002
DBSC-Based Grayscale Line Image Vectorization.,Konstantin Melikhov
DBSC-Based Grayscale Line Image Vectorization.,Quan Chen
DBSC-Based Grayscale Line Image Vectorization.,Seah Hock Soon
Cyclic orbit flag codes.,Miguel Ángel Navarro-Pérez
A Time-Domain Joint Estimation Algorithm for CFO and I/Q Imbalance in Wideband Direct-Conversion Receivers.,Yen-Chang Pan
Assessing the potential of open-source libraries for managing satellite data products - A case study on disaster management.,Gadde Srinivasa Rao
Assessing the potential of open-source libraries for managing satellite data products - A case study on disaster management.,K. Ram Mohan Rao
Assessing the potential of open-source libraries for managing satellite data products - A case study on disaster management.,Pullaiahgari Venkata Nagamani
Assessing the potential of open-source libraries for managing satellite data products - A case study on disaster management.,V. Bhanumurthy
Assessing the potential of open-source libraries for managing satellite data products - A case study on disaster management.,Vinod Kumar Sharma
Higher-Order Masked Ciphertext Comparison for Lattice-Based Cryptography.,Ingrid Verbauwhede
Higher-Order Masked Ciphertext Comparison for Lattice-Based Cryptography.,Jan-Pieter D'Anvers
Higher-Order Masked Ciphertext Comparison for Lattice-Based Cryptography.,Michiel Van Beirendonck
Higher-Order Masked Ciphertext Comparison for Lattice-Based Cryptography.,Peter Pessl
Subdivision and multiresolution for PUPs.,Amirhessam Moltaji
Subdivision and multiresolution for PUPs.,Faramarz F. Samavati
Color gradient vectorization for SVG compression of comic image.,Ray-I Chang
Specification and Design of Transactions in Information Systems: A Formal Approach.,Gilbert Babin
Specification and Design of Transactions in Information Systems: A Formal Approach.,Peretz Shoval
On QoS evaluation for ZigBee incorporated Wireless Sensor Network (IEEE 802.15.4) using mobile sensor nodes.,Vishal Kumar Arora
On QoS evaluation for ZigBee incorporated Wireless Sensor Network (IEEE 802.15.4) using mobile sensor nodes.,Vishal Sharma 0002
A framework for strengthening agricultural knowledge systems for improved accessibility of agricultural knowledge in Morogoro Region of Tanzania.,Wulystan Pius Mtega
IT Infrastructure to Support the Secondary Use of Routinely Acquired Clinical Imaging Data for Research.,Henri A. Vrooman
IT Infrastructure to Support the Secondary Use of Routinely Acquired Clinical Imaging Data for Research.,Kai Yan Eugene Leung
IT Infrastructure to Support the Secondary Use of Routinely Acquired Clinical Imaging Data for Research.,Miriam C. J. M. Sturkenboom
IT Infrastructure to Support the Secondary Use of Routinely Acquired Clinical Imaging Data for Research.,Wiro J. Niessen
A sound and complete model-generation procedure for consistent and confidentiality-preserving databases.,Lena Wiese
Exploring the Role of Wearable Technology in Sport Kinematics and Kinetics: A Systematic Review.,Enrica Papi
Exploring the Role of Wearable Technology in Sport Kinematics and Kinetics: A Systematic Review.,Yewande Adesida
A hidden semi-Markov model with missing data and multiple observation sequences for mobility tracking.,Shun-Zheng Yu
Insider Attack Protection: Lightweight Password-Based Authentication Techniques Using ECC.,Ruhul Amin
Insider Attack Protection: Lightweight Password-Based Authentication Techniques Using ECC.,Satyanarayana Vollala
Insider Attack Protection: Lightweight Password-Based Authentication Techniques Using ECC.,Siranjeevi Rajamanickam
Interactive by-example design of artistic packing layouts.,Hans-Peter Seidel
Interactive by-example design of artistic packing layouts.,Tobias Ritschel 0001
Fault Detection in Induction Motor Using Time Domain and Spectral Imaging-Based Transfer Learning Approach on Vibration Data.,Arunkumar M. Bongale
Fault Detection in Induction Motor Using Time Domain and Spectral Imaging-Based Transfer Learning Approach on Vibration Data.,Ketan Kotecha
Fault Detection in Induction Motor Using Time Domain and Spectral Imaging-Based Transfer Learning Approach on Vibration Data.,Lubna Abdel Kareim Gabralla
Fault Detection in Induction Motor Using Time Domain and Spectral Imaging-Based Transfer Learning Approach on Vibration Data.,Priya S. Jadhav
Fault Detection in Induction Motor Using Time Domain and Spectral Imaging-Based Transfer Learning Approach on Vibration Data.,Sajal Misra
Fault Detection in Induction Motor Using Time Domain and Spectral Imaging-Based Transfer Learning Approach on Vibration Data.,Sameer Sayyad
Fault Detection in Induction Motor Using Time Domain and Spectral Imaging-Based Transfer Learning Approach on Vibration Data.,Satish Kumar
Hybrid Best-Fit Heuristic for Energy Efficient Virtual Machine Placement in Cloud Data Centers.,V. Subramaniyaswamy
Hybrid Best-Fit Heuristic for Energy Efficient Virtual Machine Placement in Cloud Data Centers.,Varadarajan Vijayakumar 0001
Communication Algorithms in k-Ary n-Cube Interconnection Networks.,Iain A. Stewart
Communication Algorithms in k-Ary n-Cube Interconnection Networks.,Yaagoub Ashir
Special Issue on MC-SS A low complex receiver with interference cancellation for power-controlled MC-CDMA downlink transmissions.,Michele Morelli
Special Issue on MC-SS A low complex receiver with interference cancellation for power-controlled MC-CDMA downlink transmissions.,Umberto Mengali
Beyond Newton: A New Root-Finding Fixed-Point Iteration for Nonlinear Equations.,Sanjay Pant
Rendezvous and Standoff Target Tracking Guidance Using Differential Geometry.,Brian A. White
Rendezvous and Standoff Target Tracking Guidance Using Differential Geometry.,Camille Alain Rabbath
Rendezvous and Standoff Target Tracking Guidance Using Differential Geometry.,Hyo-Sang Shin
Rendezvous and Standoff Target Tracking Guidance Using Differential Geometry.,Hyondong Oh
Rendezvous and Standoff Target Tracking Guidance Using Differential Geometry.,Seungkeun Kim
P2P computing for intelligence of things.,Jungsoo Han
P2P computing for intelligence of things.,Sunmoon Jo
P2P computing for intelligence of things.,Supratip Ghose
Adaptive GNSS Receiver Design for Highly Dynamic Multipath Environments.,Arslan Ahmed
Adaptive GNSS Receiver Design for Highly Dynamic Multipath Environments.,Hina Magsi
Adaptive GNSS Receiver Design for Highly Dynamic Multipath Environments.,Rajesh Tiwari
Ice-sheet surface elevation change from crossover of ENVISAT data.,Yonghai Chu
Automated Detection and Classification of Non-Wet Solder Joints.,Bonnie L. Bennett
Automated Detection and Classification of Non-Wet Solder Joints.,Jeffrey S. Pettinato
Automated Detection and Classification of Non-Wet Solder Joints.,Lina J. Karam
Immobilizing Caging Grasps of Convex Polyhedrons With a Four-Pin Gripper.,Jianhua Su
Immobilizing Caging Grasps of Convex Polyhedrons With a Four-Pin Gripper.,Yan Meng
Impact of Electrostatic Coupling on Monolithic 3D-enabled Network on Chip.,Janardhan Rao Doppa
Impact of Electrostatic Coupling on Monolithic 3D-enabled Network on Chip.,Krishnendu Chakrabarty
Impact of Electrostatic Coupling on Monolithic 3D-enabled Network on Chip.,Partha Pratim Pande
Impact of Electrostatic Coupling on Monolithic 3D-enabled Network on Chip.,Sourav Das
Analysis of a soft-switched PFC boost converter using analog and digital control circuits.,João Batista Vieira
Analysis of a soft-switched PFC boost converter using analog and digital control circuits.,Luis Carlos de Freitas
Analysis of a soft-switched PFC boost converter using analog and digital control circuits.,Luiz Henrique Silva Colado Barreto
Analysis of a soft-switched PFC boost converter using analog and digital control circuits.,Marcelo Gouveia Sebastiao
Analysis of a soft-switched PFC boost converter using analog and digital control circuits.,Valdeir José Farias
Robust joint stem detection and crop-weed classification using image sequences for plant-specific treatment in precision farming.,Cyrill Stachniss
Robust joint stem detection and crop-weed classification using image sequences for plant-specific treatment in precision farming.,Jens Behley
Robust joint stem detection and crop-weed classification using image sequences for plant-specific treatment in precision farming.,Nived Chebrolu
Robust joint stem detection and crop-weed classification using image sequences for plant-specific treatment in precision farming.,Philipp Lottes
Ontology-driven coordination model for multiagent-based mobile workforce brokering systems.,Mohd Jan Nordin
Ontology-driven coordination model for multiagent-based mobile workforce brokering systems.,Zulaiha Ali Othman
Deep learning super-resolution electron microscopy based on deep residual attention network.,Chuwen Lan
Deep learning super-resolution electron microscopy based on deep residual attention network.,Jia Wang
Deep learning super-resolution electron microscopy based on deep residual attention network.,Zehua Gao
Ontology-based Semantic Similarity Transfer Algorithm.,Yimin Qiu
Ontology-based Semantic Similarity Transfer Algorithm.,Ying Wang
"Let's Talk With Developers, Not About Developers: A Review of Automatic Program Repair Research.",Emily Winter 0001
"Let's Talk With Developers, Not About Developers: A Review of Automatic Program Repair Research.",John R. Woodward
"Let's Talk With Developers, Not About Developers: A Review of Automatic Program Repair Research.",Steve Counsell
"Let's Talk With Developers, Not About Developers: A Review of Automatic Program Repair Research.",Sæmundur Óskar Haraldsson
"Let's Talk With Developers, Not About Developers: A Review of Automatic Program Repair Research.",Tracy Hall
"Let's Talk With Developers, Not About Developers: A Review of Automatic Program Repair Research.",Vesna Nowack
E-Learning and Computational Linguistics.,Maja Bärenfänger
HandButton: Gesture Recognition of Transceiver-free Object by Using Wireless Networks.,Weiling Zheng
Introduction.,Maciej Eder
Introduction.,Manfred Thaller
PENET: A practical method and tool for integrated modeling of security attacks and countermeasures.,G. Manimaran
PENET: A practical method and tool for integrated modeling of security attacks and countermeasures.,Srdjan Pudar
Wideband Low-Profile Luneburg Lens Based on a Glide-Symmetric Metasurface.,Jiachen Zhang
Wideband Low-Profile Luneburg Lens Based on a Glide-Symmetric Metasurface.,Jinxiao Wu
Wideband Low-Profile Luneburg Lens Based on a Glide-Symmetric Metasurface.,Mingbo Cai
Wideband Low-Profile Luneburg Lens Based on a Glide-Symmetric Metasurface.,Zehong Yan
Latent semantic text classification method research based on support vector machine.,Yulin Wang
PEPSI-Dock: a detailed data-driven protein-protein interaction potential accelerated by polar Fourier correlation.,Petr Popov
PEPSI-Dock: a detailed data-driven protein-protein interaction potential accelerated by polar Fourier correlation.,Sergei Grudinin
PEPSI-Dock: a detailed data-driven protein-protein interaction potential accelerated by polar Fourier correlation.,Émilie Neveu
Markovian representation and prediction of stochastic processes with time-varying rational spectrum.,Vo V. Anh
DRCW-OVO: Distance-based relative competence weighting combination for One-vs-One strategy in multi-class problems.,Edurne Barrenechea
DRCW-OVO: Distance-based relative competence weighting combination for One-vs-One strategy in multi-class problems.,Francisco Herrera
DRCW-OVO: Distance-based relative competence weighting combination for One-vs-One strategy in multi-class problems.,Mikel Galar
INKBLOT: A neurological diagnostic decision support system integrating causal and anatomical knowledge.,Gordon Banks
INKBLOT: A neurological diagnostic decision support system integrating causal and anatomical knowledge.,Gregory F. Cooper
The Internet of Things: A Reality Check.,Jeffrey M. Voas
The Internet of Things: A Reality Check.,Keith W. Miller 0001
IDDQ Design and Test Advantages Propel Industry.,Jerry M. Soden
Reading newspapers on the Internet: the influence of web sites' attributes.,Raquel Gurrea
Eigenspine: Computing the correlation between measures describing vertebral pose for patients with adolescent idiopathic scoliosis.,Daniel Forsberg
Eigenspine: Computing the correlation between measures describing vertebral pose for patients with adolescent idiopathic scoliosis.,Hans Knutsson
Improved penalty algorithm for mixed integer PDE constrained optimization problems.,Francesco Rinaldi
Improved penalty algorithm for mixed integer PDE constrained optimization problems.,Margherita Porcelli
Improved penalty algorithm for mixed integer PDE constrained optimization problems.,Martin Stoll
Towards the Integration of a Query Mechanism and Navigation for Retrieval of Data on Multimedia Documents.,Henk J. Olivié
Computer algebra and desuspensions of stunted real projective spaces.,Nikolaos Glinos
Energy and reserve dispatch with distributionally robust joint chance constraints.,Daniel Kuhn
Energy and reserve dispatch with distributionally robust joint chance constraints.,Pierre Pinson
Energy and reserve dispatch with distributionally robust joint chance constraints.,Viet Anh Nguyen
Efficient computation offloading for Internet of Vehicles in edge computing-assisted 5G networks.,Wenmin Lin
Efficient computation offloading for Internet of Vehicles in edge computing-assisted 5G networks.,Xiang Li
Efficient computation offloading for Internet of Vehicles in edge computing-assisted 5G networks.,Xiaolong Xu 0001
Efficient computation offloading for Internet of Vehicles in edge computing-assisted 5G networks.,Yuan Xue
Scheduling of uniform multidimensional systems under resource constraints.,Nelson L. Passos
Tight error bounds for asynchronous multicarrier CDMA and their application.,Tung-Sang Ng
Gorenstein simplices with a given δ-polynomial.,Koutarou Yoshida
Gorenstein simplices with a given δ-polynomial.,Takayuki Hibi
"Linear, second order and unconditionally energy stable schemes for the viscous Cahn-Hilliard equation with hyperbolic relaxation using the invariant energy quadratization method.",Xiaofeng Yang 0003
"Linear, second order and unconditionally energy stable schemes for the viscous Cahn-Hilliard equation with hyperbolic relaxation using the invariant energy quadratization method.",Xiaoming He
CHAMSA: five languages citizens of an increasingly technological world should acquire.,Bruria Haberman
On the complexity of cake cutting.,Jirí Sgall
ICST 2009 Special Issue.,Per Runeson
Stochastic comparisons of series and parallel systems with randomized independent components.,Franco Pellerey
An Efficient Pairing-Free Certificateless Searchable Public Key Encryption for Cloud-Based IIoT.,Mimi Ma
An Efficient Pairing-Free Certificateless Searchable Public Key Encryption for Cloud-Based IIoT.,Min Luo 0002
An Efficient Pairing-Free Certificateless Searchable Public Key Encryption for Cloud-Based IIoT.,Shuqin Fan
Perturbation of the BOLD response by a contrast agent and interpretation through a modified balloon model.,Penny A. Gowland
Perturbation of the BOLD response by a contrast agent and interpretation through a modified balloon model.,Susan T. Francis
Design and analysis of RPL objective functions for multi-gateway ad-hoc low-power and lossy networks.,Kenneth N. Brown
Design and analysis of RPL objective functions for multi-gateway ad-hoc low-power and lossy networks.,Muhammad Omer Farooq
Design and analysis of RPL objective functions for multi-gateway ad-hoc low-power and lossy networks.,Thomas Kunz
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,Carlos López-Vázquez
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,Daniela Moctezuma
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,Diego Seco
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,Esther Hochsztain
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,Javier Moya-Honduvilla
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,José De Pérez-Alcázar
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,Marcela E. Montiveros
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,María A. Barrera
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,María Ester González
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,María F. León-Pazmiño
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,María T. Manrique-Sancho
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,Miguel A. Bernabé-Poveda
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,Pablo López-Ramírez
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,Rocío Narváez-Benalcázar
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,Villie Morocho-Zurita
Building a Gold Standard Dataset to Identify Articles About Geographic Information Science.,Yuri Resnichenko
A control algorithm for a non-stationary batch service production system using Kalman filter.,Mohammadali Saniee Monfared
The Splitting of Primes in Division Fields of Elliptic Curves.,Árpad Tóth
The Floating of Negative Factors and the Recognition of Semantic Patterns of HUAIYI Sentences in Mandarin.,Tingting Guo
Fast likelihood classification.,David A. Landgrebe
"The role, formation mechanism, and dynamic mechanism of action of technology standards in industrial systems.",Hong Jiang 0005
"The role, formation mechanism, and dynamic mechanism of action of technology standards in industrial systems.",Shukuan Zhao
"The role, formation mechanism, and dynamic mechanism of action of technology standards in industrial systems.",Yong Chen 0018
Artificial intelligence and statistics.,Karl Kumbier
Bi-objective trapezoidal fuzzy mixed integer linear program-based distribution center location decision for large-scale emergencies.,Shu-ping Wan
Bi-objective trapezoidal fuzzy mixed integer linear program-based distribution center location decision for large-scale emergencies.,Ze-hui Chen
Route Planning of Teleoperation Mobile Robot based on the Virtual Reality Technology.,Xuechun Yuan
Fast Scene Change Detection in Surveillance Systems Using ANOVA on Color Histogram.,Joydip Saha
Fast Scene Change Detection in Surveillance Systems Using ANOVA on Color Histogram.,Rezwanur Rahman
The Split and Merge Protocol for Interactive Video-on-Demand.,Wanjiun Liao
STI in the land of RaD.,Patrick Kelly
A Two-Point Boundary Problem for Airy Functions (Richard B. Evans).,Carl C. Grosjean
A Two-Point Boundary Problem for Airy Functions (Richard B. Evans).,Hans E. De Meyer
A Two-Point Boundary Problem for Airy Functions (Richard B. Evans).,Michael Renardy
Pertinence and Feasibility of a Unifying Holistic Approach of IT Governance.,Oihab Allal-Chérif
Generating tool paths on surfaces for a numerically controlled calotte cutting system.,Elmar Wings
Arbitrarily distributed data-based recommendations with privacy.,Ibrahim Yakut
Neural correlates of continuous causal word generation.,Benjamin Straube
Neural correlates of continuous causal word generation.,Jens Sommer
Neural correlates of continuous causal word generation.,Kim C. Wende
Neural correlates of continuous causal word generation.,Mirjam Stratmann
Neural correlates of continuous causal word generation.,Tilo Kircher
Univalence of a New General Integral Operator Associated with the q-Hypergeometric Function.,Maslina Darus
Measuring Brand Value in an Equilibrium Framework.,Qiang Lu
Measuring Brand Value in an Equilibrium Framework.,Sridhar Moorthy
BYOD and Governance of the Personal Cloud.,Gottfried Vossen
BYOD and Governance of the Personal Cloud.,Stuart Dillon
Ultrathin Three-Axis FBG Wrist Force Sensor for Collaborative Robots.,Jianyong Long
Ultrathin Three-Axis FBG Wrist Force Sensor for Collaborative Robots.,Qiaokang Liang
Ultrathin Three-Axis FBG Wrist Force Sensor for Collaborative Robots.,Wei Sun 0028
Ultrathin Three-Axis FBG Wrist Force Sensor for Collaborative Robots.,Yaonan Wang
"Walk Counts, Labyrinthicity, and Complexity of Acyclic and Cyclic Graphs and Molecules.",Gerta Rücker
"The Impact of Gender and Experience on the Strength of the Relationships Between Perceived Data Warehouse Flexibility, Ease-of-Use, and Usefulness.",Richard J. Goeke
"The Impact of Gender and Experience on the Strength of the Relationships Between Perceived Data Warehouse Flexibility, Ease-of-Use, and Usefulness.",Robert H. Faley
Quasi-Random Sampling for Multivariate Distributions via Generative Neural Networks.,Marius Hofert
Quasi-Random Sampling for Multivariate Distributions via Generative Neural Networks.,Mu Zhu
Superconvergence of a modified weak Galerkin approximation for second order elliptic problems by L2 projection method.,Xiaoshen Wang
Energy-Efficient Resource Allocation of Wireless Energy Transfer for the Internet of Everything in Digital Twins.,Robert Nowak 0002
Energy-Efficient Resource Allocation of Wireless Energy Transfer for the Internet of Everything in Digital Twins.,Zhihan Lv
Design and Calibration of a Novel Bio-Inspired Pixelated Polarized Light Compass.,Guoliang Han
Design and Calibration of a Novel Bio-Inspired Pixelated Polarized Light Compass.,Junxiang Lian
Design and Calibration of a Novel Bio-Inspired Pixelated Polarized Light Compass.,Lilian Zhang
Design and Calibration of a Novel Bio-Inspired Pixelated Polarized Light Compass.,Xiaofeng He
Design and Calibration of a Novel Bio-Inspired Pixelated Polarized Light Compass.,Xiaoping Hu
Design and Calibration of a Novel Bio-Inspired Pixelated Polarized Light Compass.,Yujie Wang
Symmetry and entropy of biological patterns: Discrete Walsh functions for 2D image analysis.,Kazuyoshi Z. Nanjo
Symmetry and entropy of biological patterns: Discrete Walsh functions for 2D image analysis.,Satoshi Chiba
Information behavior and information practices: A special issue for research on people's engagement with technology.,Gary Burnett
Information behavior and information practices: A special issue for research on people's engagement with technology.,Lisa M. Given
Information behavior and information practices: A special issue for research on people's engagement with technology.,Stan Karanasios
The use of a dipolar ion-exchanger for the fractionation of transfer ribonucleic acid.,D. S. Jones
The use of a dipolar ion-exchanger for the fractionation of transfer ribonucleic acid.,F. T. Jay
Fuzzing-based hard-label black-box attacks against machine learning models.,Yi Qin
On bipartite graphs with minimal energy.,Lusheng Wang 0001
On bipartite graphs with minimal energy.,Xueliang Li 0001
The impact of big data market segmentation using data mining and clustering techniques.,Fahed Yoseph
The impact of big data market segmentation using data mining and clustering techniques.,Markku Heikkilä
The impact of big data market segmentation using data mining and clustering techniques.,Nur Aqilah Paskhal Rostam
The impact of big data market segmentation using data mining and clustering techniques.,Nurul Hashimah Ahamed Hassain Malim
The impact of big data market segmentation using data mining and clustering techniques.,Oana Geman
Service quality evaluation of satellite data distribution system based on BP-IPA.,Lu Lu
Service quality evaluation of satellite data distribution system based on BP-IPA.,Xiangbin Yan
Methods for distance-based judgment aggregation.,Michael K. Miller
DHAES: An Encryption Scheme Based on the Diffie-Hellman Problem.,Mihir Bellare
DHAES: An Encryption Scheme Based on the Diffie-Hellman Problem.,Phillip Rogaway
Limit cycles in planar continuous piecewise linear systems.,Hebai Chen
Limit cycles in planar continuous piecewise linear systems.,Jianhua Xie
Limit cycles in planar continuous piecewise linear systems.,Yuan Yue
Enhancement of Wireless Lighting Control System.,Joseph Cudjoe Attachie
Enhancement of Wireless Lighting Control System.,Shiphrah Ohene Adu
Towards evolvable software architectures based on systems theoretic stability.,Jan Verelst
Towards evolvable software architectures based on systems theoretic stability.,Kris Ven
Constructing Automated Scoring Model for Human Translation with Multidisciplinary Technologies.,Ya Sun
Constructing Automated Scoring Model for Human Translation with Multidisciplinary Technologies.,Ying Qin
New insight into admissibility analysis for singular systems with time-varying delays.,Yong He
A personalized adaptive e-learning approach based on semantic web technology.,Hossein Jahankhani
A personalized adaptive e-learning approach based on semantic web technology.,Maryam Yarandi
A fully adaptive reaction-diffusion integration scheme with applications to systems biology.,David J. Miller
Slippage Detection with Piezoresistive Tactile Sensors.,Eugenio Guglielmelli
Slippage Detection with Piezoresistive Tactile Sensors.,Loredana Zollo
Slippage Detection with Piezoresistive Tactile Sensors.,Maria Chiara Carrozza
Slippage Detection with Piezoresistive Tactile Sensors.,Rocco Antonio Romeo
Identification of the Dynamic Operating Envelope of HCCI Engines Using Class Imbalance Learning.,Jeff Sterniak
Identification of the Dynamic Operating Envelope of HCCI Engines Using Class Imbalance Learning.,Vijay Manikandan Janakiraman
Identification of the Dynamic Operating Envelope of HCCI Engines Using Class Imbalance Learning.,XuanLong Nguyen
Understanding the influence of integration on ERP performance.,Yujong Hwang
Two-phase grouping-based resource management for big data processing in mobile cloud computing.,Hyongsoon Kim
Two-phase grouping-based resource management for big data processing in mobile cloud computing.,JiSu Park
Two-phase grouping-based resource management for big data processing in mobile cloud computing.,Young-Sik Jeong
Multifractal Analysis of Movement Behavior in Association Football.,Jaime Sampaio
General Consumer Communication Tools for Improved Image Management and Communication in Medicine.,Chantal Rosset
General Consumer Communication Tools for Improved Image Management and Communication in Medicine.,Osman Ratib
An efficient two-dimensional frequency estimator.,Steven Kay
"Failure Management for Reliable Cloud Computing: A Taxonomy, Model, and Future Directions.",Sukhpal Singh Gill
Fault Diagnosis of Rolling Bearings Based on a Residual Dilated Pyramid Network and Full Convolutional Denoising Autoencoder.,Hongmei Shi
Fault Diagnosis of Rolling Bearings Based on a Residual Dilated Pyramid Network and Full Convolutional Denoising Autoencoder.,Jin Si
Fault Diagnosis of Rolling Bearings Based on a Residual Dilated Pyramid Network and Full Convolutional Denoising Autoencoder.,Jingcheng Chen
Incremental multiple kernel extreme learning machine and its application in Robo-advisors.,Jingming Xue
Incremental multiple kernel extreme learning machine and its application in Robo-advisors.,Miaomiao Li
Incremental multiple kernel extreme learning machine and its application in Robo-advisors.,Qiang Liu 0004
Incremental multiple kernel extreme learning machine and its application in Robo-advisors.,Siqi Wang 0001
Incremental multiple kernel extreme learning machine and its application in Robo-advisors.,Xinwang Liu
Incremental multiple kernel extreme learning machine and its application in Robo-advisors.,Yongkai Ye
Predecessor/successor approach for high-performance run-time wavefront scheduling.,Tsung-Chuan Huang
On the interior regularity of weak solutions to the non-stationary Stokes system.,Jörg Wolf
Forbidden Subgraphs Generating Almost the Same Sets.,Michitaka Furuya
Forbidden Subgraphs Generating Almost the Same Sets.,Shinya Fujita 0001
A Joint Redundancy and Imperfect Maintenance Strategy Optimization for Multi-State Systems.,Yanfeng Li
A Joint Redundancy and Imperfect Maintenance Strategy Optimization for Multi-State Systems.,Yu Liu 0006
A Joint Redundancy and Imperfect Maintenance Strategy Optimization for Multi-State Systems.,Yuanjian Yang
A Joint Redundancy and Imperfect Maintenance Strategy Optimization for Multi-State Systems.,Zhonglai Wang
The effect of vaccinations in an immigrant model.,Lora Billings
Face Recognition System Based on Four State Hidden Markov Model.,Danish Ali
Face Recognition System Based on Four State Hidden Markov Model.,Imran Touqir
Face Recognition System Based on Four State Hidden Markov Model.,Jabeen Malik
Face Recognition System Based on Four State Hidden Markov Model.,Muhammad Imran 0003
Machine learning enabled discovery of application dependent design principles for two-dimensional materials.,Venkatasubramanian Viswanathan
